start_time,c,h,l,o,t
1704614400000,0.01,0.01,0.01,0.01,1704614400
1704618000000,0.01,0.01,0.01,0.01,1704618000
1704621600000,0.01,0.01,0.01,0.01,1704621600
1704625200000,0.01,0.01,0.01,0.01,1704625200
1704628800000,0.01,0.01,0.01,0.01,1704628800
1704632400000,0.01,0.01,0.01,0.01,1704632400
1704636000000,0.01,0.01,0.01,0.01,1704636000
1704639600000,0.01,0.01,0.01,0.01,1704639600
1704643200000,0.01,0.01,0.01,0.01,1704643200
1704646800000,0.01,0.01,0.01,0.01,1704646800
1704650400000,0.01,0.01,0.01,0.01,1704650400
1704654000000,0.01,0.01,0.01,0.01,1704654000
1704657600000,0.01,0.01,0.01,0.01,1704657600
1704661200000,0.01,0.01,0.01,0.01,1704661200
1704664800000,0.01,0.01,0.01,0.01,1704664800
1704668400000,0.01,0.01,0.01,0.01,1704668400
1704672000000,0.01,0.01,0.01,0.01,1704672000
1704675600000,0.01,0.01,0.01,0.01,1704675600
1704679200000,0.01,0.01,0.01,0.01,1704679200
1704682800000,0.01,0.01,0.01,0.01,1704682800
1704686400000,0.01,0.01,0.01,0.01,1704686400
1704690000000,0.01,0.01,0.01,0.01,1704690000
1704693600000,0.01,0.01,0.01,0.01,1704693600
1704697200000,0.01,0.01,0.01,0.01,1704697200
1704700800000,0.01,0.01,0.01,0.01,1704700800
1704704400000,0.01,0.01,0.01,0.01,1704704400
1704708000000,0.01,0.01,0.01,0.01,1704708000
1704711600000,0.01,0.01,0.01,0.01,1704711600
1704715200000,0.01,0.01,0.01,0.01,1704715200
1704718800000,0.01,0.01,0.01,0.01,1704718800
1704722400000,0.01,0.01,0.01,0.01,1704722400
1704726000000,0.01,0.01,0.01,0.01,1704726000
1704729600000,0.01,0.01,0.01,0.01,1704729600
1704733200000,0.01,0.01,0.01,0.01,1704733200
1704736800000,0.01,0.01,0.01,0.01,1704736800
1704740400000,0.01,0.01,0.01,0.01,1704740400
1704744000000,0.01,0.01,0.01,0.01,1704744000
1704747600000,0.01,0.01,0.01,0.01,1704747600
1704751200000,0.01,0.01,0.01,0.01,1704751200
1704754800000,0.01,0.01,0.01,0.01,1704754800
1704758400000,0.01,0.01,0.01,0.01,1704758400
1704762000000,0.01,0.01,0.01,0.01,1704762000
1704765600000,0.01,0.01,0.01,0.01,1704765600
1704769200000,0.01,0.01,0.01,0.01,1704769200
1704772800000,0.01,0.01,0.01,0.01,1704772800
1704776400000,0.01,0.01,0.01,0.01,1704776400
1704780000000,0.01,0.01,0.01,0.01,1704780000
1704783600000,0.01,0.01,0.01,0.01,1704783600
1704787200000,0.01,0.01,0.01,0.01,1704787200
1704790800000,0.01,0.01,0.01,0.01,1704790800
1704794400000,0.01,0.01,0.01,0.01,1704794400
1704798000000,0.01,0.01,0.01,0.01,1704798000
1704801600000,0.01,0.01,0.01,0.01,1704801600
1704805200000,0.01,0.01,0.01,0.01,1704805200
1704808800000,0.01,0.01,0.01,0.01,1704808800
1704812400000,0.01,0.01,0.01,0.01,1704812400
1704816000000,0.01,0.01,0.01,0.01,1704816000
1704819600000,0.01,0.01,0.01,0.01,1704819600
1704823200000,0.01,0.01,0.01,0.01,1704823200
1704826800000,0.01,0.01,0.01,0.01,1704826800
1704830400000,0.01,0.01,0.01,0.01,1704830400
1704834000000,0.01,0.01,0.01,0.01,1704834000
1704837600000,0.01,0.01,0.01,0.01,1704837600
1704841200000,0.01,0.01,0.01,0.01,1704841200
1704844800000,0.01,0.01,0.01,0.01,1704844800
1704848400000,0.01,0.01,0.01,0.01,1704848400
1704852000000,0.01,0.01,0.01,0.01,1704852000
1704855600000,0.01,0.01,0.01,0.01,1704855600
1704859200000,0.01,0.01,0.01,0.01,1704859200
1704862800000,0.01,0.01,0.01,0.01,1704862800
1704866400000,0.01,0.01,0.01,0.01,1704866400
1704870000000,0.01,0.01,0.01,0.01,1704870000
1704873600000,0.01,0.01,0.01,0.01,1704873600
1704877200000,0.01,0.01,0.01,0.01,1704877200
1704880800000,0.01,0.01,0.01,0.01,1704880800
1704884400000,0.01,0.01,0.01,0.01,1704884400
1704888000000,0.01,0.01,0.01,0.01,1704888000
1704891600000,0.01,0.01,0.01,0.01,1704891600
1704895200000,0.01,0.01,0.01,0.01,1704895200
1704898800000,0.01,0.01,0.01,0.01,1704898800
1704902400000,0.01,0.01,0.01,0.01,1704902400
1704906000000,0.01,0.01,0.01,0.01,1704906000
1704909600000,0.01,0.01,0.01,0.01,1704909600
1704913200000,0.01,0.01,0.01,0.01,1704913200
1704916800000,0.01,0.01,0.01,0.01,1704916800
1704920400000,0.01,0.01,0.01,0.01,1704920400
