start_time,datetime,netflow_total,is_shutdown,exchange_supply_ratio,flow_mean,flow_total,transactions_count_flow,reserve,reserve_usd,open_interest,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,exchange_whale_ratio,funding_rates,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,transactions_count_inflow,transactions_count_outflow,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1681747200000,2023-04-17 16:00:00,296.41534096000004,0,0.03208639,16.98913432,1257.19594,74,620836.88203551,18302358070.889458,3830897183.7236,0.52674888,0.51962257,342.33933904,641.58013195,0.53358781,0.01,4.66438907,9.90630564,294.16361601,345.16479099,0.238,6975.78139,10.91584824,322415.84741,1218,74,29464.43,29480.0,29330.85,29358.3,2816.77871,0.54989197,1.22168888,349076283.4672,0.45010803,285732553.7846
1681750800000,2023-04-17 17:00:00,-193.04981778,0,0.03207637,3.81147004,133.40145146,35,620643.83221773,18290629023.239304,3826833543.2615,0.0834996,0.38310099,55.30391556,113.80995477,0.48593215,0.01,8.76742207,10.6961687,248.69721758,306.85977255,0.0,0.0,2.87368842,85074.85506,1363,35,29462.67,29527.26,29447.63,29464.42,1471.3224,0.46868197,0.88211192,156859008.3917,0.53131803,177822115.3898
1681754400000,2023-04-17 18:00:00,-6.152327909999997,0,0.03207597,5.18021235,424.777413,82,620637.67988982,18328712323.97092,3835076972.1273,0.17513895,0.38424231,142.90324901,281.2731546,0.50805861,0.00996233,3.50518881,8.69787753,231.09361366,287.42548251,0.407,11953.35818,3.45350527,102423.7397,1606,82,29524.97,29572.0,29458.09,29462.67,1269.23421,0.49106834,0.96490035,165547559.07244,0.50893166,171569591.1424
1681758000000,2023-04-17 19:00:00,18.945197089999965,0,0.03207689,0.09568563,2.77488339,29,620656.62508691,18311549153.38956,3830937694.5106,0.30047787,0.346463,250.25161032,301.98025461,0.8287019,0.00855863,9.75982957,9.1467443,251.13295577,283.03505752,0.544,15987.21611,2.21813468,65810.5486,1005,29,29467.24,29580.17,29458.0,29524.96,1755.32231,0.44466377,0.8007109,134607614.8909,0.55533623,168110132.4474
1681761600000,2023-04-17 20:00:00,208.46873195,0,0.0320876,10.76411673,839.6011053,78,620865.09381886,18267506994.05368,3804904238.994399,0.39286919,0.33801301,354.47173802,518.58732546,0.68353336,0.00910407,3.9758794,7.86763649,259.98382707,310.11859351,0.345,10111.63258,0.0,0.0,1320,78,29443.75,29492.8,29421.11,29467.25,1261.16452,0.45698447,0.84156795,120879167.1739,0.54301553,143635658.5472
1681765200000,2023-04-17 21:00:00,97.62435136,0,0.03209261,0.20679062,2.89506874,14,620962.71817022,18292017900.76952,3806158901.1559,0.26887542,0.33002276,152.58806635,178.53327693,0.85467577,0.00987792,5.77920897,7.47955441,78.10040557,80.90892557,1.61720473,47358.82184,0.0,0.0,664,14,29452.22,29471.97,29391.92,29443.75,1280.13898,0.53676531,1.15873297,112798938.5185,0.46323469,97346792.5391
1681768800000,2023-04-17 22:00:00,98.71612014,0,0.03209765,4.34053092,321.19928781,74,621061.43429036,18340477009.064198,3823583637.5758,0.13940017,0.26957287,90.68525233,213.00345622,0.42574545,0.00819162,1.54442346,5.42804876,82.93402036,114.28733608,0.0,0.0,0.075,2222.54888,1528,74,29502.28,29536.93,29452.21,29452.22,1235.66661,0.521646,1.09050202,96840956.7191,0.478354,88804013.7673
1681772400000,2023-04-17 23:00:00,30.63345396,0,0.0320992,0.17299491,2.76791854,16,621092.06774432,18319239071.17812,3815841093.0631,0.15364457,0.21627225,59.42435049,75.43948522,0.78770885,0.0058197,2.80037695,5.16176132,41.37937338,44.80603126,2.271,66504.80537,0.123,3638.82178,491,16,29430.27,29510.6,29396.88,29502.28,965.67011,0.37635112,0.60346636,76887571.6136,0.62364888,127409871.2727
1681776000000,2023-04-18 00:00:00,277.50356023,0,0.03211345,5.20677977,432.16272068,83,621369.57130455,18257448487.54597,3806245981.444,0.35056486,0.25442443,271.68875335,401.74732622,0.67626773,0.00522525,1.49691284,4.12311714,101.0736645,124.24376599,12.07821724,353081.63269,0.0,0.0,1146,83,29364.16,29450.29,29280.01,29430.27,1357.21158,0.44904349,0.81502528,179887192.6147,0.55095651,220713634.65948
1681779600000,2023-04-18 01:00:00,75.20892559999999,0,0.03211728,0.34422256,4.13067072,12,621444.78023015,18109931635.025986,3771302895.59,0.55466943,0.30864307,122.23105679,132.01132424,0.92591342,0.00734837,4.73353322,4.29859492,56.50639599,56.80239864,83.24652821,2408362.63582,12.96763365,382138.60806,238,12,29373.53,29414.28,29096.78,29364.16,3579.77139,0.46834879,0.88093241,460670442.97298,0.53165121,522935057.46481
1681783200000,2023-04-18 02:00:00,-220.99058392,0,0.03210579,6.1480333,553.32299691,90,621223.78964623,18309135260.45232,3770553083.382,0.3359244,0.31370686,184.10960206,285.19981829,0.645546,0.00814822,5.6243378,3.70781038,377.31429801,506.19040221,0.0,0.0,4.42715656,130924.47258,849,90,29465.84,29489.47,29373.52,29373.53,1471.03294,0.54729313,1.20893491,191374227.7936,0.45270687,158299860.9548
1681786800000,2023-04-18 03:00:00,-24.24828107000002,0,0.03210445,0.45931706,15.15746289,33,621199.54136516,18293378651.04104,3779778216.7448,0.29451647,0.29965647,136.56660643,175.23730038,0.77932384,0.00676683,6.04501762,4.00340155,180.96622886,199.48558145,0.105,3078.0645,0.086,2545.292,595,33,29446.99,29500.0,29442.54,29465.83,932.02903,0.45984294,0.85131339,77292818.2763,0.54015706,90792438.6006
1681790400000,2023-04-18 04:00:00,199.03655968,0,0.03211466,5.28702019,248.48994897,47,621398.57792484,18344285799.313087,3785250524.6002,0.50601432,0.33353346,163.25335263,243.89890142,0.66934845,0.0062372,0.95451791,3.31415997,37.35855068,44.86234174,0.023,675.77714,0.94621524,28000.23959,482,47,29494.69,29506.76,29442.56,29447.0,881.6166,0.52486343,1.10465803,92723358.7296,0.47513657,83938518.5659
1681794000000,2023-04-18 05:00:00,-306.03230546,0,0.03209876,0.63782774,22.32397102,35,621092.54561938,18328558643.36153,3807235776.7633,0.15515017,0.33578346,78.51729083,120.70683394,0.65047925,0.00525743,12.19254684,4.83532045,388.2044692,426.7391394,0.156,4592.16189,13.7849064,409382.08042,778,35,29542.14,29593.39,29494.69,29494.7,2113.51105,0.50454374,1.01834165,214897657.71734,0.49545626,211027072.2734
1681797600000,2023-04-18 06:00:00,84.65639407999998,0,0.03210303,5.65600093,424.20006999,75,621177.20201346,18468776216.81543,3823027631.1484,0.55153745,0.3926253,373.18171321,563.11973271,0.66270402,0.00301642,6.37951118,5.34662534,376.50467426,478.46333863,0.003,88.67217,10.93887827,325943.93246,1021,75,29720.98,29740.0,29542.14,29542.15,2778.52413,0.53057864,1.13028228,375361308.62274,0.46942136,332095190.5332
1681801200000,2023-04-18 07:00:00,-411.59053974000005,0,0.03208172,0.53815366,15.60645627,29,620765.61147372,18479435391.563023,3861990873.0036,0.22339338,0.37445795,144.79101075,166.87485324,0.86766225,0.0006063,19.94708252,7.98236387,546.62058564,578.46539298,0.04,1184.97318,4.46475834,133435.48566,747,29,29775.62,29803.0,29672.87,29720.98,2229.71009,0.50919155,1.03745472,224317308.99718,0.49080845,216218890.0028
1681804800000,2023-04-18 08:00:00,381.68527589000007,0,0.03210136,10.27252356,708.80412558,69,621147.29674961,18447027141.106106,3845570715.8528,0.5132069,0.36853473,402.25458318,654.85200397,0.61426793,-0.00161558,3.95893809,7.87170742,215.28069851,273.16672808,0.105,3105.95855,4.26874381,127744.83887,1276,69,29703.89,29831.0,29693.1,29775.61,1858.73511,0.45258985,0.8267838,208934987.0403,0.54741015,252708129.2586
1681808400000,2023-04-18 09:00:00,-125.17064499000004,0,0.03209476,0.20819867,7.49515198,36,621022.12610462,18552893371.16419,3858021125.3187,0.20811634,0.35027643,205.90384565,278.87590021,0.73833503,-0.0020336,11.22351514,8.6715899,316.65557434,404.0465452,0.0,0.0,16.38363513,491395.73683,1340,36,29897.68,29939.99,29700.0,29703.89,2742.65157,0.55809241,1.26291657,378076279.03388,0.44190759,299367581.7475
1681812000000,2023-04-18 10:00:00,-3.7854341800000384,0,0.03209454,7.14308893,385.72680218,54,621018.34067044,18558929941.395187,3855106329.7964,0.30488056,0.35175702,132.00023549,271.64857627,0.4859228,-0.00156812,5.10062982,8.53667736,221.50650457,275.43401045,0.002,59.60916,3.37813312,101486.80329,891,54,29899.26,29971.71,29868.03,29897.69,2365.16801,0.48089177,0.92638056,247226171.7455,0.51910823,266873229.346
1681815600000,2023-04-18 11:00:00,-18.10158199,0,0.03209354,0.49549549,15.85585577,32,621000.23908845,18804463200.857304,3841029574.1651,0.2099691,0.30946484,189.52348316,272.74986331,0.69486188,0.00075022,9.08910767,9.69876161,248.93532585,290.8514453,0.022,661.98154,66.21782477,2011617.32612,1299,32,30380.59,30381.68,29888.9,29899.26,6974.54325,0.55109983,1.2276668,1045413989.59252,0.44890017,851545377.6198
1681819200000,2023-04-18 12:00:00,-21.778740240000047,0,0.03209234,4.8647667,335.66890236,69,620978.46034821,18824200413.891945,3860997265.1406,0.39013688,0.34303437,290.03061773,666.35378441,0.4352502,0.00354013,9.97293514,9.38167422,546.12825401,688.13252465,6.10978317,184453.8568,18.53950117,566633.86771,1708,69,30303.14,30485.0,30279.8,30380.59,6137.65968,0.48851111,0.95507669,733766615.5466,0.51148889,768280309.6847
1681822800000,2023-04-18 13:00:00,-359.23206225000007,0,0.03207368,4.08356253,138.84112596,34,620619.22828596,18866161886.925163,3902778826.4756,0.21296785,0.29466729,169.19846752,261.31155332,0.64749708,0.00481678,18.25128281,11.0776416,531.06092504,620.54361557,4.307,130194.59693,3.80742552,116224.70655,1227,34,30381.31,30433.18,30282.63,30303.14,3427.7542,0.53067318,1.13071141,382081348.9307,0.46932682,337912349.4648
