start_time,close,datetime,high,low,open,volume
1723975200000,59870.73,2024-08-18 10:00:00,60200.0,59826.31,59880.01,1134.85926
1723978800000,60024.01,2024-08-18 11:00:00,60033.34,59759.04,59870.72,455.2164
1723982400000,59969.55,2024-08-18 12:00:00,60284.99,59892.98,60024.0,792.74575
1723986000000,59828.0,2024-08-18 13:00:00,60227.71,59826.31,59969.56,516.38036
1723989600000,59806.01,2024-08-18 14:00:00,59971.14,59669.85,59828.01,645.58452
1723993200000,59863.99,2024-08-18 15:00:00,59931.51,59700.67,59806.0,274.37716
1723996800000,59840.45,2024-08-18 16:00:00,59945.83,59766.3,59863.99,242.12455
1724000400000,59527.58,2024-08-18 17:00:00,59858.05,59377.14,59840.45,647.11206
1724004000000,59602.17,2024-08-18 18:00:00,59623.97,59468.19,59527.58,286.59077
1724007600000,59708.38,2024-08-18 19:00:00,59756.0,59511.79,59602.18,235.22316
1724011200000,59814.53,2024-08-18 20:00:00,59869.77,59682.63,59708.38,270.88956
1724014800000,59439.33,2024-08-18 21:00:00,59814.53,59311.14,59814.53,464.86074
1724018400000,59350.0,2024-08-18 22:00:00,59577.88,59350.0,59439.33,315.50332
1724022000000,58427.35,2024-08-18 23:00:00,59407.61,58408.92,59350.0,2014.55508
1724025600000,58346.03,2024-08-19 00:00:00,58710.0,58210.03,58427.35,2258.26711
1724029200000,58564.0,2024-08-19 01:00:00,58630.0,58216.33,58346.03,1674.85658
1724032800000,58670.51,2024-08-19 02:00:00,58748.0,58427.07,58564.0,571.95643
1724036400000,58736.85,2024-08-19 03:00:00,58763.83,58561.87,58670.51,481.87935
1724040000000,58582.0,2024-08-19 04:00:00,58746.0,58450.0,58736.85,446.59763
1724043600000,58475.18,2024-08-19 05:00:00,58612.0,58359.5,58581.99,597.592
1724047200000,58570.0,2024-08-19 06:00:00,58660.84,58388.85,58475.19,470.2875
1724050800000,58502.19,2024-08-19 07:00:00,58745.82,58500.0,58570.0,563.1549
