start_time,buy,sell,time
1705082400000,11807.073,12608.773,1705082400
1705086000000,8634.829,8967.661,1705086000
1705089600000,11657.423,10959.253,1705089600
1705093200000,8625.08,10321.29,1705093200
1705096800000,39213.362,47769.659,1705096800
1705100400000,10830.307,10837.066,1705100400
1705104000000,5216.522,5225.9,1705104000
1705107600000,6919.878,6892.345,1705107600
1705111200000,3778.65,3967.656,1705111200
1705114800000,3602.192,3445.996,1705114800
1705118400000,3254.991,2945.378,1705118400
1705122000000,5536.767,4557.593,1705122000
1705125600000,4002.932,5445.606,1705125600
1705129200000,3969.135,4130.015,1705129200
1705132800000,2457.741,2640.68,1705132800
1705136400000,3949.113,5032.863,1705136400
1705140000000,6950.889,7150.855,1705140000
1705143600000,7244.226,7471.231,1705143600
1705147200000,4916.555,4920.114,1705147200
1705150800000,3801.007,3744.153,1705150800
1705154400000,7143.591,5934.649,1705154400
1705158000000,6929.949,7325.748,1705158000
1705161600000,6555.385,8031.859,1705161600
1705165200000,3102.88,3080.797,1705165200
1705168800000,2397.387,2597.46,1705168800
1705172400000,2712.462,2730.893,1705172400
1705176000000,2641.833,2119.714,1705176000
1705179600000,1693.476,1694.886,1705179600
1705183200000,1829.256,2054.82,1705183200
1705186800000,1731.438,2257.86,1705186800
1705190400000,2751.767,3952.146,1705190400
1705194000000,1675.224,1753.413,1705194000
1705197600000,1721.034,1820.273,1705197600
1705201200000,1954.106,2157.08,1705201200
1705204800000,2304.34,2814.659,1705204800
1705208400000,2177.007,1624.676,1705208400
1705212000000,2474.122,2148.968,1705212000
1705215600000,2978.06,3672.432,1705215600
1705219200000,1431.32,2000.207,1705219200
1705222800000,2630.074,2374.426,1705222800
1705226400000,1984.199,2211.988,1705226400
1705230000000,2928.846,2920.498,1705230000
1705233600000,2411.165,2494.903,1705233600
1705237200000,2058.434,1474.057,1705237200
1705240800000,2994.558,3173.986,1705240800
1705244400000,1975.117,1854.615,1705244400
1705248000000,2085.356,2430.822,1705248000
