start_time,active_address,exchange_inflow,exchange_outflow,price,transaction_count
1709006400000,1860,0.59111576,10.0064166,55737.99,402
1709010000000,557,4.9810789,12.71923945,56066.01,446
1709013600000,1721,0.38620462,4.85447007,56363.0,409
1709017200000,715,1.16889954,19.44903027,56059.08,696
1709020800000,675,0.11472682,13.64254667,56235.99,396
1709024400000,1020,2.14198618,27.9635086,56615.94,699
1709028000000,1538,2.67725995,9.29760618,56528.25,490
1709031600000,423,1.79856975,27.20491463,56527.79,429
1709035200000,839,2.37590999,16.87939069,56786.95,474
1709038800000,882,0.21518185,15.14547019,57112.29,808
1709042400000,3163,2.66768046,17.07133319,56976.33,914
1709046000000,1339,0.17180247,20.65781683,56745.66,562
1709049600000,1204,0.20619032,32.78549045,57040.01,529
1709053200000,584,0.15074965,13.54546114,56759.99,364
1709056800000,344,0.03103976,13.23738917,57111.1,235
1709060400000,1543,0.96881288,10.65763371,57339.68,1058
1709064000000,1122,0.58856562,32.92643278,56967.89,808
1709067600000,916,2.14782193,2.26510874,56703.32,778
1709071200000,611,0.22206839,6.30419415,56892.91,471
1709074800000,563,1.51711008,7.48817628,57037.34,346
1709078400000,1023,0.75118972,10.0541155,57015.34,470
1709082000000,1274,0.27568346,12.54995997,56772.64,460
1709085600000,1806,1.78094377,10.00384525,56925.1,505
1709089200000,5211,0.60430911,3.04811375,56916.4,542
1709092800000,4754,2.01217407,2.02905246,57207.5,271
1709096400000,890,0.93042084,16.86917858,57080.68,299
1709100000000,4891,1.650758,4.63847156,57185.81,436
1709103600000,961,0.39548155,34.32104545,58241.1,535
1709107200000,1142,2.41089063,19.34468399,59448.42,665
1709110800000,992,1.00707245,33.05697869,59300.01,943
1709114400000,2328,2.38886879,9.73701281,59266.02,920
1709118000000,745,0.32611684,22.60494815,58941.11,720
1709121600000,699,0.32861014,14.19979968,59354.2,448
1709125200000,1680,0.62719034,42.33167828,60454.77,953
1709128800000,2203,0.33515624,38.41746205,60971.11,1210
1709132400000,902,0.84349649,39.30927993,60966.22,845
1709136000000,406,0.17178845,21.88797372,62412.01,145
1709139600000,1953,0.93903349,32.3768468,61358.6,1633
1709143200000,400,0.82888164,0.00474672,61101.99,161
1709146800000,2982,1.41200749,18.48784009,60951.11,1788
1709150400000,2362,3.78035269,6.61365253,60403.21,921
1709154000000,1160,0.723169,11.38177778,60550.46,917
1709157600000,4344,1.53582345,3.3494707,61274.94,1093
1709161200000,889,3.16113535,49.14733465,62432.1,854
1709164800000,612,0.14231939,16.48548761,61359.99,485
1709168400000,425,2.73698621,22.53596337,61376.07,355
1709172000000,205,0.05437812,23.315233,61740.29,90
1709175600000,2519,1.03151619,7.60806756,61561.33,801
1709179200000,2132,3.15552311,6.96376319,62443.9,488
1709182800000,1250,0.64617057,20.16089287,62540.91,457
1709186400000,1005,0.91227122,15.82240275,63000.0,483
1709190000000,1159,2.99881953,10.65617703,62707.17,481
1709193600000,1095,3.07367297,14.27961366,62785.28,678
1709197200000,581,1.0754085,22.63141456,62686.39,484
1709200800000,1378,2.55282896,28.0873844,62703.29,830
1709204400000,422,0.53693698,17.13025938,62936.02,331
1709208000000,810,0.10887278,22.43674057,62661.05,424
1709211600000,739,0.19028194,15.73920167,62931.66,695
1709215200000,1378,1.0611707,22.1338627,62902.77,842
1709218800000,1250,0.11308188,7.74781103,62768.02,315
1709222400000,650,0.07117962,52.23446805,62171.97,339
1709226000000,1555,0.79905937,29.79888176,60982.35,960
1709229600000,1731,2.80694025,5.70364756,60800.0,723
1709233200000,498,0.10826088,7.07667231,61600.0,399
1709236800000,652,0.13117728,36.34715201,61934.73,506
1709240400000,1428,1.96776326,26.35135992,61374.94,748
1709244000000,1150,2.78929812,7.08901103,61224.02,575
1709247600000,546,0.26110281,8.78791489,61130.98,364
1709251200000,782,4.74423575,8.32849849,61501.11,405
1709254800000,490,0.24386323,11.40099532,61214.35,454
1709258400000,997,2.23268573,6.97539173,60980.0,376
1709262000000,519,0.08479975,7.89118723,61105.91,369
1709265600000,1305,2.49808416,4.70016091,61524.09,320
1709269200000,293,0.90143229,10.19448756,61312.01,293
1709272800000,221,0.37636499,26.74876336,61568.18,191
1709276400000,647,2.03696428,28.37819771,61434.0,516
1709280000000,407,0.06032523,26.09072427,61908.62,347
1709283600000,678,0.13638714,25.59773122,62129.15,357
1709287200000,780,2.30519379,17.47632035,61991.11,557
1709290800000,591,2.50000478,17.01536581,61863.72,514
1709294400000,3000,2.09026523,6.44132337,62230.0,612
