start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_short_ratio,longShortRatio,shortAccount,active_address,exchange_inflow_x,exchange_outflow_x,price_x,transaction_count_x,active_addresses,exchange_inflow_y,exchange_outflow_y,price_y,transaction_count_y
1706130000000.0,76181.76,76597.63,76181.76,76356.65,0.01,0.01,0.01,0.01,67.83,2.11,32.17,855,0.28119908,3.76665695,39792.74,575,49570,1.0627881528951888,1.1470462967391304,39740.89859113549,14629
1706130000000.0,76201.26,76208.26,75990.21,76181.76,0.01,0.01,0.01,0.01,67.94,2.12,32.06,855,0.28119908,3.76665695,39792.74,575,49570,1.0627881528951888,1.1470462967391304,39740.89859113549,14629
1706220000000.0,78018.95,78867.57,78018.95,78867.57,0.01,0.01,0.01,0.01,67.67,2.09,32.33,10630,1.42305348,1.11185198,39956.31,692,54642,0.6133245632186108,1.19481163638756,39938.64005453995,10625
1706220000000.0,77654.08,78018.95,77639.01,78018.95,0.01,0.01,0.01,0.01,67.32,2.06,32.68,10630,1.42305348,1.11185198,39956.31,692,54642,0.6133245632186108,1.19481163638756,39938.64005453995,10625
1706220000000.0,77933.77,77971.31,77654.08,77654.08,0.01,0.01,0.01,0.01,67.18,2.05,32.82,10630,1.42305348,1.11185198,39956.31,692,54642,0.6133245632186108,1.19481163638756,39938.64005453995,10625
1706310000000.0,79475.33,79993.86,79434.48,79922.56,0.009206,0.009314,0.008246,0.008707,59.19,1.45,40.81,1010,0.35438821,2.28534418,41823.51,600,64633,0.4325801851876605,2.055497119098011,41874.34393455977,22623
1706310000000.0,79315.22,79641.36,79315.22,79475.33,0.009012,0.009397,0.009012,0.009206,59.5,1.47,40.5,1010,0.35438821,2.28534418,41823.51,600,64633,0.4325801851876605,2.055497119098011,41874.34393455977,22623
1706310000000.0,79030.64,79315.22,78967.27,79315.22,0.009138,0.009163,0.008635,0.009012,59.39,1.46,40.61,1010,0.35438821,2.28534418,41823.51,600,64633,0.4325801851876605,2.055497119098011,41874.34393455977,22623
1706400000000.0,78265.55,78327.63,78024.22,78024.22,0.01,0.01,0.01,0.01,60.63,1.54,39.37,2731,0.70142069,2.86026546,41990.85,417,66162,0.8412413675783854,1.170035987476871,42001.43672926056,38080
1706400000000.0,77936.38,78374.07,77840.2,78265.55,0.01,0.01,0.01,0.01,60.02,1.5,39.98,2731,0.70142069,2.86026546,41990.85,417,66162,0.8412413675783854,1.170035987476871,42001.43672926056,38080
