start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count
1726408800000,21148,1.3649094691003465,0.4568953497419356,60212.9304517739,5104
1726412400000,50346,0.297544480313987,0.49760876382113,60341.98757477052,14043
1726416000000,48804,0.2835981537731958,0.4893346547506561,59986.29334444051,10635
1726419600000,63711,0.1990734355321834,0.6291529181568924,59848.49916239174,19989
1726423200000,40975,0.1517941734516616,0.1412623048303393,60107.15244986059,19971
1726426800000,38718,0.1875799049153846,0.3560028225105932,59876.22419547272,30361
1726430400000,34747,0.3941841737994946,0.1541380507426778,59846.08020266759,23568
1726434000000,37851,0.2789246959367588,0.4146781570538922,59650.24815525763,23144
1726437600000,35094,0.4665194549584026,0.6758552236963188,59411.42397793687,23299
1726441200000,34418,0.7310553581692002,0.9556830132023576,59207.19110176031,40885
1726444800000,31035,0.729007553438914,5.558176296341948,58688.63130503265,47327
1726448400000,25228,0.3857946102941176,0.870354724716007,58602.480607412166,11702
1726452000000,27431,0.2409287741214058,0.2279571240366973,58346.16008943036,11607
1726455600000,29763,0.4187294081200787,0.3818434556687117,58561.60375443861,29392
1726459200000,11788,0.6592324237818181,0.594920945955414,58369.75514666877,18982
1726462800000,48416,0.5557305210086204,0.6939679764121037,58600.16188869839,9286
1726466400000,42187,0.539224594268868,0.5662120144647201,58656.68283578424,13024
1726470000000,42008,0.6837022740806346,0.9742252843118469,58939.7464560002,21484
1726473600000,36341,0.4198309163194444,0.8313529438558785,58951.16449327807,39912
1726477200000,47715,1.62054326492562,1.5331178507878789,58644.34333650624,49026
1726480800000,36434,0.3916240905527102,0.5804398016111072,58671.63978379653,30620
1726484400000,32838,0.4754148359550939,0.92654158090301,58662.84036184616,32271
1726488000000,45098,0.3009600425766871,0.4780201593281654,58517.433549753296,13482
1726491600000,46078,0.8301420427819546,0.4115254404260653,58464.59312437739,13779
1726495200000,33178,0.4874708341047693,1.0236904635869566,57664.77218973684,10726
1726498800000,48697,0.933421491582279,0.9333105272853596,57973.45854366236,13328
1726502400000,87380,0.4913711999466186,0.4882533654336212,57814.1934094485,32961
1726506000000,26625,0.1704154798021583,0.7851260666384778,58123.08033657619,7269
1726509600000,76977,0.8234168962364696,0.9742108276877592,57757.90373051845,13844
1726513200000,59674,0.2083489486379018,0.3217769521052632,57978.54651839393,18380
1726516800000,43127,0.3314769569311552,0.4965626224928775,57712.17644160752,18486
1726520400000,35112,0.2239729634919472,0.4641607729675252,57939.25315391295,29958
1726524000000,27860,0.2403530838351822,0.5285677914975846,57954.07871255659,6148
1726527600000,47132,0.540816211369863,1.0865836441449033,58232.17974645846,11421
1726531200000,20497,0.303174826384778,1.9026155917507417,57814.40941535133,4674
