start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704546000000,2024-01-06 13:00:00,0.00357825,0.22900803,64
1704549600000,2024-01-06 14:00:00,0.01313985,0.67013214,51
1704553200000,2024-01-06 15:00:00,0.003373,0.31706217,94
1704556800000,2024-01-06 16:00:00,0.00173634,0.25003309,144
1704560400000,2024-01-06 17:00:00,0.01640472,1.39440109,85
1704564000000,2024-01-06 18:00:00,0.0050839,0.40162827,79
1704567600000,2024-01-06 19:00:00,0.00153867,0.05846932,38
1704571200000,2024-01-06 20:00:00,0.00094396,0.00755167,8
1704574800000,2024-01-06 21:00:00,0.01750869,1.10304721,63
1704578400000,2024-01-06 22:00:00,0.00238257,0.17154516,72
1704582000000,2024-01-06 23:00:00,0.00355038,0.09586025,27
1704585600000,2024-01-07 00:00:00,0.00015907,0.01511203,95
1704589200000,2024-01-07 01:00:00,0.00688335,0.44741765,65
1704592800000,2024-01-07 02:00:00,0.00010662,0.00852972,80
1704596400000,2024-01-07 03:00:00,0.13551173,10.56991456,78
1704600000000,2024-01-07 04:00:00,0.00010086,0.01341376,133
1704603600000,2024-01-07 05:00:00,0.0016669,0.12501747,75
1704607200000,2024-01-07 06:00:00,0.0,0.0,0
1704610800000,2024-01-07 07:00:00,0.010006,0.020012,2
1704614400000,2024-01-07 08:00:00,0.00401934,0.63907583,159
1704618000000,2024-01-07 09:00:00,0.01595883,1.02136501,64
1704621600000,2024-01-07 10:00:00,0.00106439,0.17881813,168
1704625200000,2024-01-07 11:00:00,0.00088759,0.03727889,42
1704628800000,2024-01-07 12:00:00,0.00283274,0.44757254,158
1704632400000,2024-01-07 13:00:00,0.02984438,1.85035156,62
1704636000000,2024-01-07 14:00:00,0.00622171,0.28619849,46
1704639600000,2024-01-07 15:00:00,0.00376974,0.50137505,133
1704643200000,2024-01-07 16:00:00,0.04327919,1.12525887,26
1704646800000,2024-01-07 17:00:00,0.02599026,0.12995128,5
1704650400000,2024-01-07 18:00:00,0.018448,0.09224,5
1704654000000,2024-01-07 19:00:00,0.00802667,0.01605334,2
1704657600000,2024-01-07 20:00:00,10.20889347,500.23577986,49
1704661200000,2024-01-07 21:00:00,0.04546953,1.36408595,30
1704664800000,2024-01-07 22:00:00,0.01326211,0.43764947,33
1704668400000,2024-01-07 23:00:00,0.02054607,0.80129687,39
1704672000000,2024-01-08 00:00:00,11.39244271,501.26747932,44
1704675600000,2024-01-08 01:00:00,0.13883748,1.11069986,8
1704679200000,2024-01-08 02:00:00,0.02098253,1.34288172,64
1704682800000,2024-01-08 03:00:00,0.06346856,9.13947269,144
1704686400000,2024-01-08 04:00:00,0.00925842,0.82399902,89
1704690000000,2024-01-08 05:00:00,0.00067764,0.05827721,86
1704693600000,2024-01-08 06:00:00,0.00043454,0.07387182,170
1704697200000,2024-01-08 07:00:00,0.0058253,0.38446977,66
1704700800000,2024-01-08 08:00:00,0.00239696,0.11505415,48
1704704400000,2024-01-08 09:00:00,0.00471518,0.49980949,106
1704708000000,2024-01-08 10:00:00,0.01204795,0.65058951,54
1704711600000,2024-01-08 11:00:00,0.01154501,0.19626524,17
1704715200000,2024-01-08 12:00:00,0.14294284,1.00059988,7
1704718800000,2024-01-08 13:00:00,0.00646164,0.69139595,107
1704722400000,2024-01-08 14:00:00,0.00089833,0.10420645,116
1704726000000,2024-01-08 15:00:00,0.00285644,0.26279235,92
1704729600000,2024-01-08 16:00:00,0.00351971,0.20062346,57
1704733200000,2024-01-08 17:00:00,0.00189895,0.13292666,70
1704736800000,2024-01-08 18:00:00,6.665e-05,0.00019996,3
1704740400000,2024-01-08 19:00:00,0.0210682,0.35815942,17
1704744000000,2024-01-08 20:00:00,19.23295778,250.02845114,13
1704747600000,2024-01-08 21:00:00,0.02,0.04,2
1704751200000,2024-01-08 22:00:00,0.00010398,0.00384724,37
1704754800000,2024-01-08 23:00:00,0.00168115,0.07901386,47
1704758400000,2024-01-09 00:00:00,0.0123726,0.86608166,70
1704762000000,2024-01-09 01:00:00,0.00659678,0.96313008,146
1704765600000,2024-01-09 02:00:00,0.00448988,0.35021099,78
1704769200000,2024-01-09 03:00:00,0.00118266,0.27437667,232
1704772800000,2024-01-09 04:00:00,0.00103392,0.10649329,103
1704776400000,2024-01-09 05:00:00,0.00489495,0.75871706,155
1704780000000,2024-01-09 06:00:00,0.02132952,1.83433847,86
1704783600000,2024-01-09 07:00:00,0.00399472,0.21172013,53
1704787200000,2024-01-09 08:00:00,0.05759875,8.63981318,150
1704790800000,2024-01-09 09:00:00,0.00320111,0.29770335,93
1704794400000,2024-01-09 10:00:00,0.5743001,26.4178047,46
1704798000000,2024-01-09 11:00:00,0.0203219,0.5283695,26
1704801600000,2024-01-09 12:00:00,0.00083408,0.02835885,34
1704805200000,2024-01-09 13:00:00,0.00652396,0.33924583,52
1704808800000,2024-01-09 14:00:00,0.00450553,0.527147,117
1704812400000,2024-01-09 15:00:00,0.00219679,0.1098394,50
1704816000000,2024-01-09 16:00:00,0.00950316,0.76975583,81
1704819600000,2024-01-09 17:00:00,0.01429397,0.25729146,18
1704823200000,2024-01-09 18:00:00,0.0276394,1.05029729,38
1704826800000,2024-01-09 19:00:00,7.63e-05,0.00473068,62
1704830400000,2024-01-09 20:00:00,0.00433933,0.013018,3
1704834000000,2024-01-09 21:00:00,0.02298997,0.29886955,13
1704837600000,2024-01-09 22:00:00,0.00556312,0.26146657,47
1704841200000,2024-01-09 23:00:00,0.00185663,0.0909751,49
1704844800000,2024-01-10 00:00:00,0.0034909,0.00698181,2
1704848400000,2024-01-10 01:00:00,0.00482232,0.16395877,34
1704852000000,2024-01-10 02:00:00,0.01255715,0.43950039,35
1704855600000,2024-01-10 03:00:00,0.002022,0.1294078,64
1704859200000,2024-01-10 04:00:00,0.00130176,0.10934785,84
