start_time,datetime,reserve,reserve_usd
1704772800000,2024-01-09 04:00:00,589668.27588624,27612361497.04453
1704776400000,2024-01-09 05:00:00,590154.49164455,27598277024.424927
1704780000000,2024-01-09 06:00:00,590675.19783444,27653635068.87806
1704783600000,2024-01-09 07:00:00,590474.53554025,27673099256.056015
1704787200000,2024-01-09 08:00:00,590465.07297967,27502520420.840908
1704790800000,2024-01-09 09:00:00,590385.60371645,27472186510.20574
1704794400000,2024-01-09 10:00:00,590515.5040241,27454334186.42971
1704798000000,2024-01-09 11:00:00,590055.44498511,27475126922.15232
1704801600000,2024-01-09 12:00:00,589994.76768638,27648770585.337048
1704805200000,2024-01-09 13:00:00,589181.5387595,27659966638.40399
1704808800000,2024-01-09 14:00:00,590223.56645284,27523779528.208504
1704812400000,2024-01-09 15:00:00,590466.88622944,27694416271.66053
1704816000000,2024-01-09 16:00:00,590552.49470806,27659492235.45263
1704819600000,2024-01-09 17:00:00,589949.85879957,27622688386.791862
1704823200000,2024-01-09 18:00:00,590294.66470328,27530785132.28979
1704826800000,2024-01-09 19:00:00,590184.9884211,27659503908.855083
1704830400000,2024-01-09 20:00:00,589945.83737805,27555797269.427383
1704834000000,2024-01-09 21:00:00,589422.33517255,27211964886.745903
1704837600000,2024-01-09 22:00:00,590397.87406791,27138800629.070015
1704841200000,2024-01-09 23:00:00,590259.48275882,27187166205.585476
1704844800000,2024-01-10 00:00:00,590189.18615128,27102659894.00283
1704848400000,2024-01-10 01:00:00,591385.17269422,27153916298.31674
1704852000000,2024-01-10 02:00:00,592471.4471443,27226834670.420258
1704855600000,2024-01-10 03:00:00,592291.61292451,27324077376.14388
1704859200000,2024-01-10 04:00:00,592954.71331048,27290853721.707005
1704862800000,2024-01-10 05:00:00,592542.05491372,27246117918.761967
1704866400000,2024-01-10 06:00:00,592904.85797432,27295789196.346523
1704870000000,2024-01-10 07:00:00,592629.62844364,27147784161.06355
1704873600000,2024-01-10 08:00:00,593215.50157833,27017469581.014763
1704877200000,2024-01-10 09:00:00,592460.5899011,27049849987.969563
1704880800000,2024-01-10 10:00:00,592863.31739383,27063427712.045773
1704884400000,2024-01-10 11:00:00,592549.73262112,26939034616.45103
1704888000000,2024-01-10 12:00:00,592292.50273936,26387898440.513412
1704891600000,2024-01-10 13:00:00,591982.91434367,26720808438.185986
1704895200000,2024-01-10 14:00:00,593548.22340892,26706203763.38907
1704898800000,2024-01-10 15:00:00,593332.89458102,26887018661.95894
1704902400000,2024-01-10 16:00:00,594299.43586622,27027186049.0202
1704906000000,2024-01-10 17:00:00,594308.398089,27583301083.260113
1704909600000,2024-01-10 18:00:00,593839.07457829,27625088778.283607
1704913200000,2024-01-10 19:00:00,594248.74057031,27633950387.248512
1704916800000,2024-01-10 20:00:00,593929.04018405,27221089959.476944
1704920400000,2024-01-10 21:00:00,593732.51930392,27052794060.692432
1704924000000,2024-01-10 22:00:00,593401.53320758,27840089983.229755
1704927600000,2024-01-10 23:00:00,592809.7962976,27572835217.305138
1704931200000,2024-01-11 00:00:00,592761.58854985,27694016491.520897
1704934800000,2024-01-11 01:00:00,592942.95414848,27590396167.53354
1704938400000,2024-01-11 02:00:00,592799.71106842,27617945475.917675
1704942000000,2024-01-11 03:00:00,592481.59904772,27527417028.44665
1704945600000,2024-01-11 04:00:00,592932.50823838,27524134570.60877
1704949200000,2024-01-11 05:00:00,592618.81613877,27419030781.7894
1704952800000,2024-01-11 06:00:00,592491.90150076,27215094817.572163
1704956400000,2024-01-11 07:00:00,592132.68908913,27298299205.139603
1704960000000,2024-01-11 08:00:00,592535.63579559,27442446310.891987
1704963600000,2024-01-11 09:00:00,592198.24601062,27412429853.954796
1704967200000,2024-01-11 10:00:00,592663.42592347,27744420900.01491
1704970800000,2024-01-11 11:00:00,592099.11050847,27862197173.48093
1704974400000,2024-01-11 12:00:00,592851.46924336,28120738775.890835
1704978000000,2024-01-11 13:00:00,591420.49184321,27977707021.162937
1704981600000,2024-01-11 14:00:00,590438.99400946,28783502240.77308
1704985200000,2024-01-11 15:00:00,590760.94971796,27566655298.133102
1704988800000,2024-01-11 16:00:00,593189.98364783,27273590740.234886
1704992400000,2024-01-11 17:00:00,593646.44864071,27235412393.75811
1704996000000,2024-01-11 18:00:00,594170.0120768,27673168321.96768
1704999600000,2024-01-11 19:00:00,595066.96114771,27752084779.89036
1705003200000,2024-01-11 20:00:00,593615.49825165,27516225955.818073
1705006800000,2024-01-11 21:00:00,594387.85715993,27566623491.779236
1705010400000,2024-01-11 22:00:00,596276.61941291,27669804876.403137
1705014000000,2024-01-11 23:00:00,596252.55710276,27675425228.15669
1705017600000,2024-01-12 00:00:00,596791.67942076,27680161287.530003
1705021200000,2024-01-12 01:00:00,596802.04475889,27534832382.007786
1705024800000,2024-01-12 02:00:00,596911.58621831,27607401869.201397
1705028400000,2024-01-12 03:00:00,596774.23328833,27499113535.462315
1705032000000,2024-01-12 04:00:00,596935.9065118,27403739515.40831
1705035600000,2024-01-12 05:00:00,596886.96572646,27544838117.25896
1705039200000,2024-01-12 06:00:00,597137.98822395,27581689203.965485
1705042800000,2024-01-12 07:00:00,596990.56683739,27372798840.83138
1705046400000,2024-01-12 08:00:00,596957.82958372,27281309058.61583
1705050000000,2024-01-12 09:00:00,596195.96861122,27421829377.63351
1705053600000,2024-01-12 10:00:00,596921.0204463,27446138386.47384
1705057200000,2024-01-12 11:00:00,596670.15235372,27429053437.809376
1705060800000,2024-01-12 12:00:00,597244.33156124,27392102433.788567
1705064400000,2024-01-12 13:00:00,597040.67613047,27341132162.160507
1705068000000,2024-01-12 14:00:00,596433.93015407,27095032936.57077
1705071600000,2024-01-12 15:00:00,596651.41953436,26734632152.51184
1705075200000,2024-01-12 16:00:00,598398.60681916,26060178446.916065
1705078800000,2024-01-12 17:00:00,598562.22655477,26086864379.514145
1705082400000,2024-01-12 18:00:00,601373.81634213,26206237081.43468
1705086000000,2024-01-12 19:00:00,601506.61439276,26154211813.945736
1705089600000,2024-01-12 20:00:00,600261.78419091,26340560504.0508
1705093200000,2024-01-12 21:00:00,600948.23787846,26104690836.92412
1705096800000,2024-01-12 22:00:00,602419.82239964,25563760261.129566
1705100400000,2024-01-12 23:00:00,602379.43586162,25767172330.478848
1705104000000,2024-01-13 00:00:00,602984.94083694,25860251099.90575
1705107600000,2024-01-13 01:00:00,602453.8471354,25715983018.680805
1705111200000,2024-01-13 02:00:00,602261.81258737,25624914116.087498
1705114800000,2024-01-13 03:00:00,601888.85127562,25648910028.162544
1705118400000,2024-01-13 04:00:00,602487.27468551,25810847144.138187
1705122000000,2024-01-13 05:00:00,602395.41178716,25879748388.520813
1705125600000,2024-01-13 06:00:00,602363.94678434,25942979316.08655
1705129200000,2024-01-13 07:00:00,602107.31495171,25982453359.39621
1705132800000,2024-01-13 08:00:00,602032.7121681,25984739052.749252
1705136400000,2024-01-13 09:00:00,601698.56671431,25845629014.334873
1705140000000,2024-01-13 10:00:00,601693.79609366,25770582537.79505
1705143600000,2024-01-13 11:00:00,601292.09384633,25591337903.44277
1705147200000,2024-01-13 12:00:00,601244.91162076,25664146732.347633
1705150800000,2024-01-13 13:00:00,601246.51021298,25689430059.50755
1705154400000,2024-01-13 14:00:00,601197.81270004,25777909871.376465
1705158000000,2024-01-13 15:00:00,600956.51394643,25953040821.00945
1705161600000,2024-01-13 16:00:00,600920.42102494,25771002708.102818
1705165200000,2024-01-13 17:00:00,600735.02937298,25772909074.78073
1705168800000,2024-01-13 18:00:00,600587.96078909,25717169976.423023
1705172400000,2024-01-13 19:00:00,600485.06175144,25751767663.600555
1705176000000,2024-01-13 20:00:00,600399.10927392,25683695947.18351
1705179600000,2024-01-13 21:00:00,600489.23119773,25800209425.791588
1705183200000,2024-01-13 22:00:00,600611.24306686,25817211281.79431
1705186800000,2024-01-13 23:00:00,600403.87093276,25721288780.855217
1705190400000,2024-01-14 00:00:00,600359.73499426,25645863031.135376
1705194000000,2024-01-14 01:00:00,600277.48877687,25682439395.936405
1705197600000,2024-01-14 02:00:00,599903.06879345,25674444931.04727
1705201200000,2024-01-14 03:00:00,599713.74778652,25602641532.207443
1705204800000,2024-01-14 04:00:00,599933.63132066,25545936586.851627
1705208400000,2024-01-14 05:00:00,599593.03697756,25623702781.506187
1705212000000,2024-01-14 06:00:00,599323.95622966,25701467510.11065
1705215600000,2024-01-14 07:00:00,599386.88333511,25764596691.64891
1705219200000,2024-01-14 08:00:00,599898.34515227,25788176004.252644
1705222800000,2024-01-14 09:00:00,599580.74459972,25746179667.215412
1705226400000,2024-01-14 10:00:00,599580.47850561,25716930977.030796
1705230000000,2024-01-14 11:00:00,599582.10744982,25738587716.53398
1705233600000,2024-01-14 12:00:00,599208.38038531,25646279853.24848
1705237200000,2024-01-14 13:00:00,599398.7301383,25662442291.029263
1705240800000,2024-01-14 14:00:00,599360.65694667,25711840388.17585
1705244400000,2024-01-14 15:00:00,599092.9330688,25692421030.060516
1705248000000,2024-01-14 16:00:00,598937.7229868,25681875306.37221
1705251600000,2024-01-14 17:00:00,598668.50160788,25713891237.25567
1705255200000,2024-01-14 18:00:00,599060.323329,25691989301.286076
1705258800000,2024-01-14 19:00:00,598838.77385476,25569291648.784153
1705262400000,2024-01-14 20:00:00,598656.50881382,25529175829.94138
1705266000000,2024-01-14 21:00:00,598783.26880271,25431016656.325027
1705269600000,2024-01-14 22:00:00,598673.82842606,25208878257.037354
1705273200000,2024-01-14 23:00:00,599446.04213197,25157349774.017273
1705276800000,2024-01-15 00:00:00,599059.13215157,25320548723.079823
1705280400000,2024-01-15 01:00:00,598659.8473534,25296452257.406693
1705284000000,2024-01-15 02:00:00,599099.65809848,25346969457.46089
1705287600000,2024-01-15 03:00:00,598728.908371,25487212749.37254
1705291200000,2024-01-15 04:00:00,598618.56637515,25476475860.58377
1705294800000,2024-01-15 05:00:00,598411.26785929,25544239544.167313
1705298400000,2024-01-15 06:00:00,598550.41209627,25522473868.69191
1705302000000,2024-01-15 07:00:00,597742.96267269,25543488791.415203
1705305600000,2024-01-15 08:00:00,598514.7712293,25554245855.689453
1705309200000,2024-01-15 09:00:00,599014.85044275,25573603534.289036
