start_time,datetime,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704682800000,2024-01-08 03:00:00,0.53258256,1.13941525,281837923.07827,0.46741744,247353124.4214
1704686400000,2024-01-08 04:00:00,0.51390304,1.05720273,152024263.9972,0.48609696,143798591.8267
1704690000000,2024-01-08 05:00:00,0.51508175,1.06220328,138926117.88454,0.48491825,130790518.65903
1704693600000,2024-01-08 06:00:00,0.53120688,1.1331371,659717091.33261,0.46879312,582204124.22355
1704697200000,2024-01-08 07:00:00,0.53322387,1.14235463,243041334.9233,0.46677613,212754715.33123
1704700800000,2024-01-08 08:00:00,0.47252051,0.89580832,107135604.5725,0.52747949,119596571.77233
1704704400000,2024-01-08 09:00:00,0.43223577,0.76129447,126393572.0102,0.56776423,166024550.10712
1704708000000,2024-01-08 10:00:00,0.57258735,1.33965933,250860621.00609,0.42741265,187257025.359
1704711600000,2024-01-08 11:00:00,0.54735502,1.20923691,627875760.47809,0.45264498,519233042.13319
1704715200000,2024-01-08 12:00:00,0.50884142,1.03600231,1332664403.93819,0.49115858,1286352734.20304
1704718800000,2024-01-08 13:00:00,0.44039645,0.78697936,403499533.23461,0.55960355,512719336.79281
1704722400000,2024-01-08 14:00:00,0.47133533,0.89155823,289601823.95277,0.52866467,324826593.59049
1704726000000,2024-01-08 15:00:00,0.53509941,1.15099748,712330304.28454,0.46490059,618880852.2556
1704729600000,2024-01-08 16:00:00,0.47120243,0.89108281,283391396.03912,0.52879757,318030370.48016
1704733200000,2024-01-08 17:00:00,0.54261799,1.18635621,692268896.50614,0.45738201,583525328.46069
1704736800000,2024-01-08 18:00:00,0.53327942,1.14260961,2102672928.29332,0.46672058,1840237384.56953
1704740400000,2024-01-08 19:00:00,0.50656152,1.0265951,943052712.5242,0.49343848,918621876.34912
1704744000000,2024-01-08 20:00:00,0.48140706,0.92829465,389174814.22236,0.51859294,419236300.49416
1704747600000,2024-01-08 21:00:00,0.50694464,1.02816981,396030033.20128,0.49305536,385179596.13807
1704751200000,2024-01-08 22:00:00,0.46797052,0.87959509,197142560.1984,0.53202948,224128762.85227
1704754800000,2024-01-08 23:00:00,0.5126161,1.05177069,196294582.17176,0.4873839,186632489.85013
1704758400000,2024-01-09 00:00:00,0.46983966,0.88622182,639243202.00569,0.53016034,721312869.62799
1704762000000,2024-01-09 01:00:00,0.49137797,0.96609651,371003486.85112,0.50862203,384023212.53259
1704765600000,2024-01-09 02:00:00,0.47518667,0.90543941,173505021.82272,0.52481333,191625216.2319
1704769200000,2024-01-09 03:00:00,0.48627533,0.94656798,200724308.06247,0.51372467,212054826.67335
1704772800000,2024-01-09 04:00:00,0.45095713,0.8213514,157777725.58795,0.54904287,192095278.44146
1704776400000,2024-01-09 05:00:00,0.46725367,0.87706597,145360166.224,0.53274633,165734587.27217
1704780000000,2024-01-09 06:00:00,0.57229215,1.33804453,157662607.1662,0.42770785,117830612.59831
1704783600000,2024-01-09 07:00:00,0.5017582,1.00705764,129205353.04723,0.4982418,128299859.28395
1704787200000,2024-01-09 08:00:00,0.43352366,0.7652988,192519742.186,0.56647634,251561535.98883
1704790800000,2024-01-09 09:00:00,0.47603204,0.90851366,275167028.84363,0.52396796,302876050.03178
1704794400000,2024-01-09 10:00:00,0.49823852,0.99297882,193442701.6282,0.50176148,194810500.29958
1704798000000,2024-01-09 11:00:00,0.53087417,1.13162428,178826618.84192,0.46912583,158026494.9188
1704801600000,2024-01-09 12:00:00,0.49219906,0.96927559,958796260.8237,0.50780094,989188496.45038
1704805200000,2024-01-09 13:00:00,0.52376348,1.09979696,928334639.88669,0.47623652,844096383.68707
1704808800000,2024-01-09 14:00:00,0.47304837,0.89770738,462485022.50549,0.52695163,515184603.44781
1704812400000,2024-01-09 15:00:00,0.51740752,1.0721417,607196690.93288,0.48259248,566339965.82077
1704816000000,2024-01-09 16:00:00,0.51868002,1.07761996,310921289.66146,0.48131998,288525918.43685
1704819600000,2024-01-09 17:00:00,0.45300223,0.82816103,229168141.95165,0.54699777,276719300.41376
1704823200000,2024-01-09 18:00:00,0.48168835,0.92934117,234148026.1724,0.51831165,251950557.75983
1704826800000,2024-01-09 19:00:00,0.49390661,0.97591989,179739144.18646,0.50609339,184174077.1238
1704830400000,2024-01-09 20:00:00,0.48877792,0.95609704,192491768.2268,0.51122208,201330784.99631
1704834000000,2024-01-09 21:00:00,0.50047309,1.00189416,3789386709.07958,0.49952691,3782222582.33355
1704837600000,2024-01-09 22:00:00,0.52634801,1.11125471,757691231.14896,0.47365199,681833991.22185
1704841200000,2024-01-09 23:00:00,0.50076269,1.00305541,264901494.6471,0.49923731,264094576.67748
1704844800000,2024-01-10 00:00:00,0.50442442,1.01785568,350626687.68063,0.49557558,344475838.8425
1704848400000,2024-01-10 01:00:00,0.55901267,1.26763885,241176793.74537,0.44098733,190256708.05065
