start_time,datetime,flow_mean,flow_total,transactions_count_flow
1704571200000,2024-01-06 20:00:00,3.08239133,129.46043568,42
1704574800000,2024-01-06 21:00:00,3.04553482,91.3660446,30
1704578400000,2024-01-06 22:00:00,3.27574727,173.61460518,53
1704582000000,2024-01-06 23:00:00,4.15332248,87.21977205,21
1704585600000,2024-01-07 00:00:00,2.88679879,144.33993974,50
1704589200000,2024-01-07 01:00:00,2.33247701,72.30678719,31
1704592800000,2024-01-07 02:00:00,1.50859563,46.76646455,31
1704596400000,2024-01-07 03:00:00,1.15480924,43.88275111,38
1704600000000,2024-01-07 04:00:00,4.21440917,134.86109341,32
1704603600000,2024-01-07 05:00:00,1.44672738,50.63545827,35
1704607200000,2024-01-07 06:00:00,0.0,0.0,0
1704610800000,2024-01-07 07:00:00,7.37530977,472.0198254,64
1704614400000,2024-01-07 08:00:00,1.01328565,34.45171204,34
1704618000000,2024-01-07 09:00:00,2.10490756,65.25213439,31
1704621600000,2024-01-07 10:00:00,2.81224112,118.11412701,42
1704625200000,2024-01-07 11:00:00,0.65128095,17.58458556,27
1704628800000,2024-01-07 12:00:00,4.46419638,174.10365882,39
1704632400000,2024-01-07 13:00:00,1.18730468,48.67949189,41
1704636000000,2024-01-07 14:00:00,2.58640627,49.1417191,19
1704639600000,2024-01-07 15:00:00,3.3886451,149.10038454,44
1704643200000,2024-01-07 16:00:00,1.61532756,48.45982689,30
1704646800000,2024-01-07 17:00:00,4.36718587,170.32024912,39
1704650400000,2024-01-07 18:00:00,2.00589358,78.22984966,39
1704654000000,2024-01-07 19:00:00,1.20093189,12.00931891,10
1704657600000,2024-01-07 20:00:00,5.98438086,347.09408988,58
1704661200000,2024-01-07 21:00:00,10.16057675,365.78076298,36
1704664800000,2024-01-07 22:00:00,2.9075019,159.91260462,55
1704668400000,2024-01-07 23:00:00,1.41108208,50.79895487,36
1704672000000,2024-01-08 00:00:00,1.89520638,60.64660421,32
1704675600000,2024-01-08 01:00:00,6.87789837,275.11593498,40
1704679200000,2024-01-08 02:00:00,1.46165227,43.84956802,30
1704682800000,2024-01-08 03:00:00,2.59397674,132.29281366,51
1704686400000,2024-01-08 04:00:00,1.18278156,39.03179132,33
1704690000000,2024-01-08 05:00:00,1.99982679,43.9961894,22
1704693600000,2024-01-08 06:00:00,13.64689178,573.16945496,42
1704697200000,2024-01-08 07:00:00,2.70013409,94.50469314,35
1704700800000,2024-01-08 08:00:00,2.99709501,104.89832552,35
1704704400000,2024-01-08 09:00:00,26.64327504,1385.45030186,52
1704708000000,2024-01-08 10:00:00,1.63365137,71.88066011,44
1704711600000,2024-01-08 11:00:00,0.77502202,26.35074858,34
1704715200000,2024-01-08 12:00:00,4.69044891,70.35673367,15
1704718800000,2024-01-08 13:00:00,3.05250386,164.8352085,54
1704722400000,2024-01-08 14:00:00,4.26594547,217.56321872,51
1704726000000,2024-01-08 15:00:00,1.58026468,58.46979316,37
1704729600000,2024-01-08 16:00:00,3.99028015,239.41680891,60
1704733200000,2024-01-08 17:00:00,2.11498952,69.79465402,33
1704736800000,2024-01-08 18:00:00,2.6648133,45.30182603,17
1704740400000,2024-01-08 19:00:00,7.86764512,432.72048146,55
1704744000000,2024-01-08 20:00:00,13.95130417,767.32172957,55
1704747600000,2024-01-08 21:00:00,6.77488386,216.79628357,32
1704751200000,2024-01-08 22:00:00,3.52113861,105.63415833,30
1704754800000,2024-01-08 23:00:00,3.50907422,175.45371076,50
1704758400000,2024-01-09 00:00:00,10.28930982,452.72963206,44
1704762000000,2024-01-09 01:00:00,1.80893381,50.65014662,28
1704765600000,2024-01-09 02:00:00,4.51823614,234.94827952,52
1704769200000,2024-01-09 03:00:00,1.13606224,46.57855192,41
1704772800000,2024-01-09 04:00:00,5.08949152,234.11661012,46
1704776400000,2024-01-09 05:00:00,4.0400176,133.32058073,33
1704780000000,2024-01-09 06:00:00,3.86049506,166.00128774,43
1704783600000,2024-01-09 07:00:00,1.32676845,29.1889058,22
1704787200000,2024-01-09 08:00:00,1.30565946,54.83769752,42
1704790800000,2024-01-09 09:00:00,3.31997162,112.87903519,34
1704794400000,2024-01-09 10:00:00,4.41516733,220.75836672,50
1704798000000,2024-01-09 11:00:00,374.11517107,12345.80064525,33
1704801600000,2024-01-09 12:00:00,2.02042239,64.65351644,32
1704805200000,2024-01-09 13:00:00,3.15254849,100.88155181,32
1704808800000,2024-01-09 14:00:00,6.24202609,305.85927844,49
1704812400000,2024-01-09 15:00:00,2.7491931,71.47902063,26
1704816000000,2024-01-09 16:00:00,5.84541543,274.73452529,47
1704819600000,2024-01-09 17:00:00,2.29773789,89.61177772,39
1704823200000,2024-01-09 18:00:00,3.59994846,179.99742294,50
1704826800000,2024-01-09 19:00:00,0.65251368,21.53295145,33
1704830400000,2024-01-09 20:00:00,3.56804195,117.74538423,33
1704834000000,2024-01-09 21:00:00,10.95269563,383.34434698,35
1704837600000,2024-01-09 22:00:00,4.93267516,256.49910849,52
1704841200000,2024-01-09 23:00:00,1.898616,55.05986409,29
1704844800000,2024-01-10 00:00:00,2.9442323,88.32696896,30
1704848400000,2024-01-10 01:00:00,4.86326878,306.38593325,63
1704852000000,2024-01-10 02:00:00,7.17492249,258.29720966,36
1704855600000,2024-01-10 03:00:00,2.44558011,129.61574582,53
1704859200000,2024-01-10 04:00:00,3.18023534,104.94776615,33
1704862800000,2024-01-10 05:00:00,4.30699779,185.2009049,43
1704866400000,2024-01-10 06:00:00,7.42885645,289.72540173,39
1704870000000,2024-01-10 07:00:00,1.30506158,45.67715536,35
1704873600000,2024-01-10 08:00:00,4.75137578,242.32016469,51
1704877200000,2024-01-10 09:00:00,6.02066628,180.61998825,30
1704880800000,2024-01-10 10:00:00,3.17026049,117.29963826,37
1704884400000,2024-01-10 11:00:00,2.02094976,68.71229195,34
1704888000000,2024-01-10 12:00:00,3.36251786,114.32560714,34
1704891600000,2024-01-10 13:00:00,2.76771495,83.03144863,30
1704895200000,2024-01-10 14:00:00,5.36620729,284.40898629,53
1704898800000,2024-01-10 15:00:00,3.73362042,145.61119621,39
1704902400000,2024-01-10 16:00:00,5.22612768,229.94961774,44
1704906000000,2024-01-10 17:00:00,0.99064999,37.64469953,38
1704909600000,2024-01-10 18:00:00,2.38085171,76.18725476,32
1704913200000,2024-01-10 19:00:00,9.96580296,388.66631563,39
1704916800000,2024-01-10 20:00:00,8.34910234,425.80421957,51
1704920400000,2024-01-10 21:00:00,1.30590032,33.95340839,26
1704924000000,2024-01-10 22:00:00,2.27458605,97.80720017,43
1704927600000,2024-01-10 23:00:00,3.77440619,109.45777957,29
1704931200000,2024-01-11 00:00:00,5.19876068,291.13059784,56
1704934800000,2024-01-11 01:00:00,1.33725697,40.11770921,30
1704938400000,2024-01-11 02:00:00,1.81454462,70.76724025,39
1704942000000,2024-01-11 03:00:00,1.26398854,41.71162192,33
1704945600000,2024-01-11 04:00:00,4.68990993,257.94504634,55
1704949200000,2024-01-11 05:00:00,1.5632807,54.71482458,35
1704952800000,2024-01-11 06:00:00,3.81221231,190.61061549,50
1704956400000,2024-01-11 07:00:00,1.37805883,53.7442942,39
1704960000000,2024-01-11 08:00:00,7.8375354,384.03923444,49
1704963600000,2024-01-11 09:00:00,0.84868785,19.51982052,23
1704967200000,2024-01-11 10:00:00,1.60948765,77.25540723,48
1704970800000,2024-01-11 11:00:00,0.71177038,22.06488179,31
1704974400000,2024-01-11 12:00:00,8.03310282,385.5889353,48
1704978000000,2024-01-11 13:00:00,5.25969672,168.31029491,32
1704981600000,2024-01-11 14:00:00,8.17527181,384.23777517,47
1704985200000,2024-01-11 15:00:00,6.94309179,208.29275369,30
1704988800000,2024-01-11 16:00:00,10.58666813,645.78675586,61
1704992400000,2024-01-11 17:00:00,65.60953644,1312.19072878,20
1704996000000,2024-01-11 18:00:00,6.52348052,287.03314308,44
1704999600000,2024-01-11 19:00:00,1.86621131,63.45118438,34
1705003200000,2024-01-11 20:00:00,1.88263574,75.30542974,40
1705006800000,2024-01-11 21:00:00,4.50398543,153.13550468,34
1705010400000,2024-01-11 22:00:00,3.15319098,154.50635825,49
1705014000000,2024-01-11 23:00:00,66.93302462,1874.12468937,28
1705017600000,2024-01-12 00:00:00,140.44089784,8286.01297281,59
1705021200000,2024-01-12 01:00:00,0.90803583,21.79285996,24
1705024800000,2024-01-12 02:00:00,1.51158405,58.95177786,39
1705028400000,2024-01-12 03:00:00,1.15802721,46.32108849,40
1705032000000,2024-01-12 04:00:00,1.88041943,67.69509952,36
1705035600000,2024-01-12 05:00:00,1.70193605,57.86582568,34
1705039200000,2024-01-12 06:00:00,6.50071189,344.53772994,53
1705042800000,2024-01-12 07:00:00,3.91622353,129.23537655,33
1705046400000,2024-01-12 08:00:00,5.81966549,209.5079578,36
1705050000000,2024-01-12 09:00:00,4.00185552,172.0797874,43
1705053600000,2024-01-12 10:00:00,3.86154307,139.01555036,36
1705057200000,2024-01-12 11:00:00,1.90314367,78.02889047,41
1705060800000,2024-01-12 12:00:00,1.39580106,39.08242974,28
1705064400000,2024-01-12 13:00:00,0.89191251,24.0816377,27
1705068000000,2024-01-12 14:00:00,1.47014459,58.80578344,40
1705071600000,2024-01-12 15:00:00,5.95482173,178.64465203,30
1705075200000,2024-01-12 16:00:00,6.98461164,426.06131026,61
1705078800000,2024-01-12 17:00:00,1.07845752,32.35372562,30
1705082400000,2024-01-12 18:00:00,6.14869223,362.77284176,59
1705086000000,2024-01-12 19:00:00,1.67321242,53.5427974,32
1705089600000,2024-01-12 20:00:00,13.77586882,482.15540882,35
1705093200000,2024-01-12 21:00:00,2.81725806,109.87306446,39
1705096800000,2024-01-12 22:00:00,4.42616495,185.89892788,42
1705100400000,2024-01-12 23:00:00,1.6277961,45.57829085,28
1705104000000,2024-01-13 00:00:00,3.88932655,186.68767447,48
1705107600000,2024-01-13 01:00:00,1.71155584,63.32756624,37
1705111200000,2024-01-13 02:00:00,3.1160551,177.61514085,57
1705114800000,2024-01-13 03:00:00,1.78223838,57.03162823,32
1705118400000,2024-01-13 04:00:00,3.67663911,191.18523385,52
1705122000000,2024-01-13 05:00:00,1.47774548,33.98814614,23
1705125600000,2024-01-13 06:00:00,1.42172465,58.29071072,41
1705129200000,2024-01-13 07:00:00,1.51450373,39.37709704,26
1705132800000,2024-01-13 08:00:00,2.9591912,118.367648,40
1705136400000,2024-01-13 09:00:00,1.83469812,51.37154744,28
1705140000000,2024-01-13 10:00:00,5.69687352,11.39374705,2
1705143600000,2024-01-13 11:00:00,1.87156084,63.63306844,34
1705147200000,2024-01-13 12:00:00,2.81451622,101.32258399,36
1705150800000,2024-01-13 13:00:00,1.72372228,48.26422382,28
1705154400000,2024-01-13 14:00:00,1.26205241,61.84056806,49
1705158000000,2024-01-13 15:00:00,2.98325992,116.34713696,39
1705161600000,2024-01-13 16:00:00,2.38414299,88.21329075,37
1705165200000,2024-01-13 17:00:00,3.92084979,133.30889277,34
1705168800000,2024-01-13 18:00:00,1.17554413,29.38860316,25
1705172400000,2024-01-13 19:00:00,0.60217791,25.29147231,42
1705176000000,2024-01-13 20:00:00,1.30910531,22.2547902,17
1705179600000,2024-01-13 21:00:00,2.22660151,120.23648173,54
1705183200000,2024-01-13 22:00:00,2.87636762,117.93107253,41
1705186800000,2024-01-13 23:00:00,1.09953538,35.18513205,32
1705190400000,2024-01-14 00:00:00,3.11639742,102.84111502,33
1705194000000,2024-01-14 01:00:00,0.97962049,13.71468682,14
