start_time,datetime,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd
1704628800000,2024-01-07 12:00:00,0.199,8720.70653,0.897,39723.44761
1704632400000,2024-01-07 13:00:00,0.00038536,17.0,14.91844746,663991.36639
1704636000000,2024-01-07 14:00:00,0.6137021,27108.94402,4.63102239,206673.36855
1704639600000,2024-01-07 15:00:00,24.59841538,1079568.72904,0.025,1111.90006
1704643200000,2024-01-07 16:00:00,5.04739849,221196.89301,1.735,76800.78786
1704646800000,2024-01-07 17:00:00,4.94777324,215918.44407,0.35267919,15582.97046
1704650400000,2024-01-07 18:00:00,0.108,4747.75455,2.45890243,108921.19548
1704654000000,2024-01-07 19:00:00,0.003,131.83914,2.03565286,90362.94433
1704657600000,2024-01-07 20:00:00,0.401,17650.4474,0.372,16528.50034
1704661200000,2024-01-07 21:00:00,0.154,6771.79962,0.113,5015.70049
1704664800000,2024-01-07 22:00:00,11.27912356,492603.04947,1.883,83321.65291
1704668400000,2024-01-07 23:00:00,20.32257591,885361.45729,4.786,210872.98038
1704672000000,2024-01-08 00:00:00,12.97511054,566426.93727,0.94343025,41549.87504
1704675600000,2024-01-08 01:00:00,0.27602301,12009.46197,0.623,27355.081
1704679200000,2024-01-08 02:00:00,21.94222455,949776.6341,4.314,187674.54257
1704682800000,2024-01-08 03:00:00,7.26718313,313420.06113,4.272,186193.05113
1704686400000,2024-01-08 04:00:00,1.112,48098.78758,0.67318278,29453.40694
1704690000000,2024-01-08 05:00:00,0.0,0.0,0.461,20192.38834
1704693600000,2024-01-08 06:00:00,2.09814808,91704.224,8.29364583,366243.76082
1704697200000,2024-01-08 07:00:00,1.01120591,44145.54307,1.143,50510.83478
1704700800000,2024-01-08 08:00:00,0.419,18307.48156,0.802,35434.88346
1704704400000,2024-01-08 09:00:00,4.34408284,189230.63788,0.0,0.0
1704708000000,2024-01-08 10:00:00,0.25,10882.785,5.03963255,222614.77743
1704711600000,2024-01-08 11:00:00,0.12402281,5432.14613,18.3407105,816342.172
1704715200000,2024-01-08 12:00:00,11.90276115,528986.88544,46.434756,2094784.03127
1704718800000,2024-01-08 13:00:00,4.85922392,217309.84001,1.25470545,56843.33103
1704722400000,2024-01-08 14:00:00,1.57534497,70310.03656,0.959,43368.07159
1704726000000,2024-01-08 15:00:00,4.39812726,196216.22507,1.93025797,87080.2587
1704729600000,2024-01-08 16:00:00,2.67529065,119601.95157,1.792,81185.71062
1704733200000,2024-01-08 17:00:00,0.0,0.0,48.84877023,2227863.97089
1704736800000,2024-01-08 18:00:00,4.31115916,198741.34165,40.04055771,1861539.56095
1704740400000,2024-01-08 19:00:00,6.48474022,302278.71089,25.51718509,1204690.31827
1704744000000,2024-01-08 20:00:00,4.29244837,200283.33973,3.57057317,168686.78379
1704747600000,2024-01-08 21:00:00,1.53912892,71767.83746,7.27541611,343678.00165
1704751200000,2024-01-08 22:00:00,7.6960489,359356.60365,0.104,4908.53426
1704754800000,2024-01-08 23:00:00,0.221,10318.90066,2.6080423,123284.28826
1704758400000,2024-01-09 00:00:00,18.0721682,837175.02745,8.62379229,405390.44547
1704762000000,2024-01-09 01:00:00,7.377,340983.82685,0.658,30748.11436
1704765600000,2024-01-09 02:00:00,0.0,0.0,2.55423682,119671.18556
1704769200000,2024-01-09 03:00:00,0.0,0.0,4.06970012,191531.12651
1704772800000,2024-01-09 04:00:00,2.35210742,109468.27224,2.075,97528.75137
1704776400000,2024-01-09 05:00:00,0.79202152,36800.00648,0.0,0.0
1704780000000,2024-01-09 06:00:00,0.0,0.0,0.339,15931.9059
1704783600000,2024-01-09 07:00:00,0.0,0.0,1.24050987,58405.60061
