start_time,datetime,flow_mean,flow_total,transactions_count_flow,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total,netflow_total,outflow_mean,outflow_mean_ma7,outflow_top10,outflow_total,reserve,reserve_usd,transactions_count_inflow,transactions_count_outflow,is_shutdown,exchange_supply_ratio,exchange_whale_ratio,funding_rates,long_liquidations,long_liquidations_usd,short_liquidations,short_liquidations_usd,open_interest,close,high,low,open,volume,taker_buy_ratio,taker_buy_sell_ratio,taker_buy_volume,taker_sell_ratio,taker_sell_volume
1704142800000,2024-01-01 21:00:00,0.27076036,3.24912428,12,0.57906119,0.39637698,98.49857711,103.65195266,4.171527950000012,8.29003539,10.44533181,98.84439296,99.48042471,579957.49189656,25383595698.87273,179,12,0,0.02960934,0.95028193,0.04657215,6.10007887,264839.32022,3.852,169291.35522,4282256161.284,43619.21,43792.59,43480.76,43687.85,1541.59126,0.4489748,0.81479903,203969153.9032,0.5510252,250330628.95979
1704146400000,2024-01-01 22:00:00,1.63565513,111.22454869,68,0.6639542,0.48352741,471.57882188,540.45871858,-5.118019549999985,8.02318733,10.85421999,361.17106495,545.57673813,579952.37387701,25232608237.58877,814,68,0,0.02960897,0.8725529,0.05507338,4.81217002,208536.60006,0.655,28719.65377,4278131108.3915,43529.93,43661.1,43361.6,43619.22,1024.36372,0.50128156,1.00513943,143714660.0644,0.49871844,142979825.38354
1704150000000,2024-01-01 23:00:00,8.81091472,326.00384471,37,0.03824485,0.43187019,6.31086984,13.07973792,-456.86992749,12.70134231,11.38611729,421.45239678,469.94966541,579495.50394952,25561222097.841736,342,37,0,0.02958557,0.48249207,0.06256907,0.171,7497.34965,48.50155711,2145160.40503,4282779860.2432,44179.55,44184.1,43529.93,43529.94,3475.97051,0.57822499,1.3709323,644392056.25681,0.42177501,470039298.8782
1704153600000,2024-01-02 00:00:00,1.43779233,28.75584652,20,0.05337125,0.42250797,5.60651101,9.92705165,-294.7879253,15.23574885,12.3937945,297.92860577,304.71497695,579200.71602422,25867187137.83826,186,20,0,0.02957051,0.56477101,0.0726404,2.99475388,133256.78242,71.42277979,3204733.95503,4353058520.3104,45056.0,45200.0,44148.34,44179.55,6986.25967,0.54012337,1.17449624,1415916337.97787,0.45987663,1205552036.01826
1704157200000,2024-01-02 01:00:00,7.48421626,486.47405658,65,0.5729405,0.40345199,360.26756458,452.62299492,-1013.05487591,22.54889032,13.28611818,1147.46984566,1465.67787083,578187.66114831,25902239172.69169,790,65,0,0.02951868,0.79595506,0.08540902,16.64260255,745372.61617,6.82165568,310015.9878,4331452237.9849,44855.96,45372.79,44686.0,45056.0,4397.86376,0.48437321,0.93938722,724264191.31814,0.51562679,770996430.11179
1704160800000,2024-01-02 02:00:00,5.91785575,378.74276803,64,2.41739771,0.74041004,722.36003847,766.31507396,33.98660579999989,11.44263232,12.81723993,692.98970237,732.32846816,578221.64775411,26194387019.869457,317,64,0,0.02952037,0.94264104,0.09025223,0.0,0.0,22.93832227,1040859.5814,4438172988.110001,45378.96,45381.42,44855.95,44855.96,3016.04235,0.51411473,1.05809904,426878133.48838,0.48588527,403438732.44969
1704164400000,2024-01-02 03:00:00,11.01416171,341.43901302,31,0.20196288,0.64670465,34.38179378,52.10642211,-1014.0314462,34.39154414,16.09048295,885.80159829,1066.13786831,577207.61630791,26246389544.880585,258,31,0,0.02946857,0.65983793,0.0803717,0.441,19857.35414,2.60891889,119020.28716,4464800874.068001,45402.38,45500.0,45131.1,45378.96,2693.12081,0.46413136,0.866129,389850349.72129,0.53586864,450106567.20214
1704168000000,2024-01-02 04:00:00,2.91119308,110.62533686,38,0.29472473,0.60608516,107.24168978,132.6261305,-320.61504765,11.92739942,16.61010638,441.82651146,453.24117815,576887.00126026,26156230108.567142,450,38,0,0.02945213,0.80860151,0.0654896,3.577,161171.52302,0.333,15165.14727,4460672378.502501,45179.8,45468.99,45170.0,45402.38,2268.27572,0.44940686,0.81622312,227939023.4267,0.55059314,279260679.63093
1704171600000,2024-01-02 05:00:00,3.14731978,129.04011106,41,1.702853,0.75449927,812.88752658,890.59212049,75.61893906,19.87739467,18.30356458,699.93263139,814.97318143,576962.62019932,26113748809.731907,523,41,0,0.02945593,0.91274952,0.0532538,1.19150003,53634.99835,0.098,4459.68388,4476488644.1278,45179.48,45324.72,45121.96,45179.8,1617.2842,0.47678906,0.91127503,169352930.13003,0.52321094,185841732.16172
1704175200000,2024-01-02 06:00:00,6.45861455,303.55488384,47,1.46029314,0.95764903,570.72323031,601.64077189,127.98129791000002,10.07786115,17.92878155,408.4537025,473.65947398,577090.60149723,26132025632.917377,412,47,0,0.02946241,0.94861129,0.04470025,0.193,8683.98118,0.331,15034.5961,4477841727.0329,45168.75,45308.15,45130.0,45179.48,1390.33832,0.4523461,0.82597075,116385038.34763,0.5476539,140906972.472
1704178800000,2024-01-02 07:00:00,2.57389802,95.23422686,37,0.08238415,0.96179373,13.17038702,29.82306225,-482.34233537,13.84230804,17.72971858,433.39565886,512.16539762,576608.25916186,26249386697.740704,362,37,0,0.02943777,0.44161753,0.03728643,3.417,154396.70914,9.28855285,423970.58527,4539504832.120899,45455.53,45643.75,45168.74,45168.75,3112.52478,0.50735978,1.02987894,494987626.42062,0.49264022,480627001.57444
1704182400000,2024-01-02 08:00:00,14.70980945,382.45504561,26,0.17272681,0.90462035,74.19658044,100.18154951,-515.46153427,23.67858015,17.89110284,504.78471983,615.64308378,576092.79762759,26303923691.46919,580,26,0,0.02941141,0.74062121,0.03428115,0.81016039,36728.75108,22.8922987,1052826.22693,4578498916.401701,45759.3,45852.93,45326.6,45455.52,3323.21707,0.5177871,1.0737728,639007743.87127,0.4822129,595105169.47569
1704186000000,2024-01-02 09:00:00,151.14683633,5894.72661676,39,0.50720676,0.63173592,313.01874673,356.56635312,-505.18876005,22.09628495,19.41305322,692.99582802,861.75511317,575587.60886754,26332067275.20114,703,39,0,0.02938557,0.87786956,0.03562282,2.244,102166.38555,8.493425,391191.56104,4607707616.8396,45673.48,45879.63,45631.1,45759.3,2096.46195,0.50149727,1.00600706,324953124.30381,0.49850273,323012767.22098
1704189600000,2024-01-02 10:00:00,15.59546772,514.65043462,33,0.72190479,0.70601334,376.36394335,472.12573102,310.82181716,4.88799739,15.19826082,139.72608964,161.30391386,575898.4306847,26285757562.42877,654,33,0,0.0294014,0.79716889,0.0427253,4.75144193,215676.85029,0.199,9129.76022,4576448644.5229,45584.99,45711.1,45431.52,45673.48,2069.22249,0.44264588,0.79419147,278653350.0299,0.55735412,350864195.14902
1704193200000,2024-01-02 11:00:00,3.08107279,144.81042106,47,3.67837457,1.18939189,1746.40427943,2975.80502382,2223.61575245,16.00402705,15.7806362,590.00422334,752.18927137,578122.04643715,26274275003.633057,809,47,0,0.02951487,0.58686784,0.0546762,23.60716142,1066161.65366,2.13556708,97692.8265,4529377555.184,45433.99,45698.67,45200.0,45585.0,2538.49307,0.48393323,0.93773375,394894776.097,0.51606677,421116096.66414
1704196800000,2024-01-02 12:00:00,5.04593419,272.48044637,54,5.42492513,1.72111648,2767.5789965,5690.74645615,5007.13114304,12.65954284,14.74951451,647.69925505,683.61531311,583129.17758019,26425916154.579597,1049,54,0,0.02977041,0.4863297,0.06305372,3.09398651,139798.97335,3.24770689,148574.2046,4512131139.6597,45301.99,45589.68,45271.04,45433.99,2128.11147,0.4892643,0.95795984,345394336.84683,0.5107357,360551999.33711
1704200400000,2024-01-02 13:00:00,5.23736921,261.8684607,50,0.10368989,1.52731601,44.22317854,89.38068921,-816.08265202,18.10926682,15.89685818,719.37208105,905.46334123,582313.09492817,26606851281.276222,862,50,0,0.02972868,0.4947733,0.0673999,0.508,22963.70122,5.30265541,242936.89781,4578559199.880199,45637.93,45705.8,45264.39,45302.0,2253.76868,0.50099534,1.00398932,342154173.5994,0.49900466,340794635.09121
