start_time,active_addresses,exchange_inflow,exchange_outflow,price,transaction_count,exchange_whale_ratio,reserve_usd
1704394800000,1190,1.04042243,21.32441402,43956.48,784,0.88792097,25834055325.69796
1704398400000,1707,1.19056924,17.39401065,44113.68,946,0.94333792,25966078157.914337
1704402000000,738,0.71956428,18.00664812,44430.86,494,0.92610666,26036095551.91164
1704405600000,1329,0.14823533,21.17394708,44318.0,580,0.75647743,26076448014.430527
1704409200000,828,0.71370399,9.29740838,44151.1,602,0.9324652,25899780392.58967
1704412800000,597,0.40259906,17.00625297,44211.1,298,0.92901727,25938596441.52892
1704416400000,2424,1.87302043,16.49791954,43376.0,787,0.84115845,25440069991.892822
1704420000000,846,0.07219942,14.70184317,43506.0,255,0.49498667,25539024570.61138
1704423600000,780,0.29572359,14.48045758,43465.21,419,0.86040929,25459494664.892395
1704427200000,1724,2.25604852,10.63516278,43589.88,451,0.87829621,25538416775.94305
1704430800000,675,1.46758907,8.36030986,43644.15,332,0.97118868,25599060210.00524
1704434400000,2034,0.27620581,12.58671345,43844.82,464,0.81789602,25612216087.35029
1704438000000,993,1.60995798,7.45833825,43777.47,514,0.83148545,25683989146.63269
1704441600000,1722,1.24974705,6.28200484,43911.44,592,0.92952339,25739158916.67303
1704445200000,545,0.69972113,9.97670201,44147.21,455,0.94219696,25888253418.242203
1704448800000,1101,0.27129667,25.31686205,43628.18,754,0.88810843,25720676588.39037
1704452400000,1055,0.5922509,35.53616119,43771.34,827,0.93294961,25598366420.43328
1704456000000,1243,1.23935681,10.9242042,43882.52,740,0.92188628,25697260606.355038
1704459600000,2293,0.70721616,17.50398701,43986.01,661,0.94443312,25675689386.53674
1704463200000,1881,1.13588244,9.58370038,43486.04,1136,0.79249884,25514229263.100677
1704466800000,1101,0.58909338,18.30698632,43500.01,789,0.93622987,25543919868.767056
1704470400000,1575,0.61558652,7.26326112,43225.99,1012,0.80015299,25395090360.12463
1704474000000,648,0.26421648,3.68693866,43609.53,352,0.876122,25450920894.246635
1704477600000,3913,0.75594848,5.00079022,43610.07,1144,0.76954799,25586690412.05984
1704481200000,978,0.30051091,4.29374994,43600.0,547,0.87025036,25583551980.900047
1704484800000,2015,0.0792925,11.35536409,43955.07,723,0.60544091,25703578356.9046
1704488400000,1340,1.75261442,12.1122109,43946.26,735,0.97693674,25741346665.26294
1704492000000,1892,0.16857789,10.71019846,43967.44,517,0.79054634,25717748559.238853
1704495600000,1252,0.62253422,20.57765336,44145.11,683,0.88275635,25858778958.99612
1704499200000,1732,0.81960523,4.01486354,44068.8,558,0.86844484,25841903970.24607
1704502800000,893,0.68097721,5.98959016,43970.64,534,0.95254937,25811095106.14228
1704506400000,1491,1.01855548,7.35951477,43909.31,459,0.86111246,25768832601.41832
1704510000000,540,5.69303593,7.6005054,43931.1,360,0.99481318,25868051525.316776
1704513600000,2357,1.07401313,6.99179342,43850.0,363,0.93991331,25838155999.879112
1704517200000,1574,0.42603309,18.49469775,43698.72,580,0.91379212,25707239171.15024
1704520800000,664,2.15846337,5.98931379,43454.7,435,0.97491342,25628880606.510803
1704524400000,1460,0.08829545,13.64765367,43653.2,448,0.6530119,25638417429.029457
1704528000000,1138,1.77629006,5.8741861,43692.33,765,0.94871406,25730620508.49481
1704531600000,434,1.01718547,2.17704958,43651.9,355,0.96700681,25746778223.89624
1704535200000,1262,0.38316879,4.67028311,43694.48,698,0.91816463,25749729614.943325
1704538800000,655,0.52688707,4.81626927,43671.96,551,0.95993539,25756011543.1742
1704542400000,530,0.30641709,2.91102035,43607.96,426,0.91047097,25749327799.72068
1704546000000,961,0.35831389,6.2770368,43704.07,747,0.88741622,25782092769.007072
1704549600000,1577,0.44419228,8.56800332,43828.21,622,0.92563208,25820654891.60344
1704553200000,2420,0.63631259,4.97138897,43867.17,459,0.94500611,25845842174.455727
1704556800000,1582,0.31936062,6.45181299,43872.34,907,0.84304347,25870995632.96948
1704560400000,1812,0.10455158,10.19606558,43963.72,753,0.80254367,25891417908.13832
1704564000000,1375,0.06795142,4.34301197,43995.89,629,0.69928501,25924815240.232018
1704567600000,946,0.67753247,7.16840769,43906.36,648,0.91784337,25858290831.670948
1704571200000,1487,0.44497154,3.10300339,43826.44,506,0.92234721,25827604412.7248
1704574800000,860,0.08058845,15.87681413,43889.43,548,0.70934526,25843009262.319965
1704578400000,1829,0.55259455,3.39315536,43878.61,702,0.91179283,25834758910.47826
1704582000000,518,0.16759392,11.23802318,43968.32,317,0.86932178,25842221269.031696
1704585600000,1419,0.95287668,10.08174208,44119.11,570,0.94134254,26003494122.024136
1704589200000,499,0.0857777,11.11234161,43967.72,294,0.7428213,25928148021.44588
1704592800000,503,0.09715822,4.63602413,43930.28,234,0.77641688,25842948599.89298
1704596400000,1059,1.19701079,4.44538577,43940.41,377,0.95619248,25890148366.767803
1704600000000,1706,1.01360667,8.17594756,44000.0,270,0.96786866,25912933162.64006
1704603600000,488,0.19348637,5.89383524,43885.47,372,0.89097595,25902646150.097065
1704607200000,0,0.0,0.0,44022.0,0,0.0,25902646150.097065
1704610800000,450,0.04734176,3.7921245,44080.0,307,0.5247055,25933206140.21725
1704614400000,884,0.73274313,6.28226353,44017.99,779,0.89627441,25908736178.581818
1704618000000,906,0.27054053,8.1094973,43938.9,415,0.88497867,25866322360.240337
1704621600000,1221,0.72155108,1.41696636,43960.0,438,0.96081542,25871804875.448586
1704625200000,479,0.08921758,5.31034501,44061.1,416,0.78958362,25959666913.87213
1704628800000,2194,0.68476064,8.45540351,44088.63,660,0.91240906,25965120071.542984
1704632400000,987,0.18685771,5.79901239,44409.31,618,0.7976371,26132897272.950603
1704636000000,339,0.86854203,8.14549839,44402.0,274,0.97333846,26096779503.2684
1704639600000,884,0.53189173,8.37502587,44047.57,669,0.92258839,25946506217.06799
1704643200000,1128,2.06510877,8.48807947,43922.0,572,0.91312639,25979666110.67006
1704646800000,1104,0.47900977,5.71889925,44064.84,601,0.93429565,25970602377.40344
1704650400000,901,0.3980043,3.6085685,44106.11,524,0.94217314,26015281008.26008
1704654000000,262,0.4028787,4.3455118,44244.77,150,0.96810805,25982914694.24176
1704657600000,1301,0.40102353,2.75533267,44120.01,713,0.89827719,26037701214.24449
1704661200000,1430,0.0623238,21.80641126,44231.53,739,0.62965115,26047402966.46162
1704664800000,2377,1.89410631,2.91148672,43862.85,523,0.93634662,25898905560.116253
1704668400000,573,0.47755138,17.79104901,43929.02,369,0.92192417,25884614907.149883
1704672000000,1171,3.36275956,6.68435528,43632.0,368,0.97783869,25831006443.507786
1704675600000,323,0.06438091,10.34455741,43713.06,219,0.6585546,25758574775.618237
1704679200000,501,0.32114901,8.53640692,43371.09,284,0.86309794,25588616138.29509
1704682800000,1528,0.2585218,13.00549637,43518.2,530,0.81991359,25643507316.5013
1704686400000,1215,0.21328579,17.43937516,43599.26,266,0.87314276,25646198408.601112
1704690000000,206,0.12447859,6.61284606,43641.74,159,0.84000148,25599406628.326702
1704693600000,715,1.53651894,17.32093056,43912.87,428,0.96933827,25798933631.02909
1704697200000,1216,2.76872501,8.39247939,43974.55,511,0.84195136,25864529815.10921
1704700800000,481,4.26589563,23.87357217,43868.53,447,0.97641034,25899767959.011795
1704704400000,2351,0.1677736,4.61831811,43720.46,727,0.80839322,25874770265.769005
1704708000000,1258,1.23960033,10.50625247,44088.85,607,0.89846554,26028443616.88879
1704711600000,628,0.1495617,15.1533904,44635.99,491,0.6398385,26314468829.859184
1704715200000,393,0.21594841,24.6089688,45111.09,260,0.8117958,26447571725.90664
1704718800000,1745,0.69301974,20.62184101,44911.58,907,0.86078077,26499136960.55601
1704722400000,1876,2.05054417,17.43193957,44783.91,783,0.94854817,26550533172.77989
1704726000000,2753,0.92361349,15.08777398,44963.04,946,0.89124212,26523391182.623177
1704729600000,2861,0.1416241,10.05076908,44940.3,801,0.7076166,26495646629.686493
1704733200000,1094,2.51388199,15.59727769,45648.0,767,0.88723193,26908602750.76784
1704736800000,483,0.22018018,26.90879317,46970.01,248,0.82383387,27542526054.92055
1704740400000,2427,0.60827259,30.18626032,46979.35,1415,0.62092074,27663653121.056023
1704744000000,2484,1.62863134,11.13449768,46774.01,941,0.91046063,27692085530.64218
1704747600000,917,1.65527749,25.2236607,47071.41,689,0.78524513,27821341438.87318
1704751200000,724,0.11264412,16.57961975,46999.99,496,0.42114401,27727605862.740204
