start_time,open_interest,high open interest,low open interest,open value of open interest,funding_rate,high funding rate,low funding rate,open funding rate,long_account,longShortRatio,shortAccount
1.70452E+12,67972.74,68119.12,67623.73,67623.73,0.01,0.01,0.01,0.01,54.56,1.2,45.44
1.70453E+12,68125.22,68180.56,67916.56,67972.74,0.01,0.01,0.01,0.01,55.66,1.26,44.34
1.70453E+12,68067.12,68247.11,68039.46,68125.22,0.01,0.01,0.01,0.01,55.93,1.27,44.07
1.70454E+12,68272.94,68297.31,67983.48,68067.12,0.01,0.01,0.01,0.01,56.07,1.28,43.93
1.70454E+12,68357.26,68372.89,68124.4,68272.94,0.01,0.01,0.01,0.01,55.92,1.27,44.08
1.70454E+12,68161.93,68415.12,68156.28,68357.26,0.01,0.01,0.01,0.01,56.05,1.28,43.95
1.70455E+12,68509.96,68554.91,68143.49,68161.93,0.01,0.01,0.01,0.01,56.06,1.28,43.94
1.70455E+12,68359.28,68533.21,68305.69,68509.96,0.01,0.01,0.01,0.01,55.86,1.27,44.14
1.70455E+12,68598.42,68602.1,68355.44,68359.28,0.01,0.01,0.01,0.01,56.21,1.28,43.79
1.70456E+12,68551.98,68796.19,68550.86,68598.42,0.01,0.01,0.01,0.01,56.07,1.28,43.93
1.70456E+12,68697.96,68701.63,68518.17,68551.98,0.01,0.01,0.01,0.01,56.06,1.28,43.94
1.70456E+12,68850.46,69223.81,68609.76,68697.96,0.01,0.01,0.01,0.01,55.9,1.27,44.1
1.70457E+12,68836.2,68924.01,68726.11,68850.46,0.01,0.01,0.01,0.01,55.71,1.26,44.29
1.70457E+12,68317.5,68847.71,68317.5,68836.2,0.01,0.01,0.01,0.01,55.35,1.24,44.65
1.70457E+12,68199.37,68317.5,68159.86,68317.5,0.01,0.01,0.01,0.01,55.42,1.24,44.58
1.70458E+12,67986.1,68210.63,67976.96,68199.37,0.01,0.01,0.01,0.01,55.42,1.24,44.58
1.70458E+12,68338.43,68338.43,67982.75,67986.1,0.01,0.01,0.01,0.01,55.36,1.24,44.64
1.70459E+12,69187.07,69289.04,68338.43,68338.43,0.01,0.01,0.01,0.01,55.33,1.24,44.67
1.70459E+12,69313.37,69417.3,69184.66,69187.07,0.01,0.01,0.01,0.01,54.57,1.2,45.43
1.70459E+12,69330.6,69367.49,69202.4,69313.37,0.01,0.01,0.01,0.01,53.79,1.16,46.21
1.7046E+12,69255.1,69351.71,69246.96,69330.6,0.01,0.01,0.01,0.01,53.9,1.17,46.1
1.7046E+12,69380.27,69380.27,69144.99,69255.1,0.01,0.01,0.01,0.01,54.03,1.18,45.97
1.7046E+12,69425.18,69550.09,69348.57,69380.27,0.01,0.01,0.01,0.01,53.85,1.17,46.15
1.70461E+12,69267.74,69483.62,69175.41,69425.18,0.01,0.01,0.01,0.01,54.12,1.18,45.88
1.70461E+12,69303.25,69317.94,69186.35,69267.74,0.01,0.01,0.01,0.01,53.76,1.16,46.24
1.70461E+12,69330.2,69464.45,69280.71,69303.25,0.01,0.01,0.01,0.01,53.75,1.16,46.25
1.70462E+12,69435.92,69464.53,69323.32,69330.2,0.01,0.01,0.01,0.01,53.46,1.15,46.54
1.70462E+12,69414.08,69472.71,69240.13,69435.92,0.01,0.01,0.01,0.01,53.66,1.16,46.34
1.70463E+12,69489.24,69490.79,69163.68,69414.08,0.01,0.01,0.01,0.01,54.02,1.18,45.98
1.70463E+12,69679.25,69682.18,69442.69,69489.24,0.01,0.01,0.01,0.01,53.71,1.16,46.29
1.70463E+12,72150.44,72150.44,69672.35,69679.25,0.01,0.01,0.01,0.01,53.38,1.15,46.62
1.70464E+12,73525.39,73525.39,72150.44,72150.44,0.01,0.01,0.01,0.01,52.4,1.1,47.6
1.70464E+12,72885.75,73885.16,72885.75,73525.39,0.01,0.01,0.01,0.01,51.7,1.07,48.3
1.70464E+12,72298.85,73023.92,72285.38,72885.75,0.01,0.01,0.01,0.01,52.79,1.12,47.21
1.70465E+12,71719.54,72302.29,71604.51,72298.85,0.01,0.01,0.01,0.01,53.2,1.14,46.8
1.70465E+12,71744.71,71849.11,71719.54,71719.54,0.01,0.01,0.01,0.01,53.48,1.15,46.52
1.70465E+12,71920.93,71936.45,71589.22,71744.71,0.01,0.01,0.01,0.01,53.15,1.13,46.85
1.70466E+12,71822.63,72006.57,71822.63,71920.93,0.01,0.01,0.01,0.01,52.88,1.12,47.12
1.70466E+12,71906.39,71928.12,71817.18,71822.63,0.01,0.01,0.01,0.01,52.92,1.12,47.08
1.70466E+12,70973.38,71927.74,70897.91,71906.39,0.01,0.01,0.01,0.01,52.82,1.12,47.18
1.70467E+12,70528.96,71316.06,70062.82,70973.38,0.01,0.01,0.01,0.01,53.48,1.15,46.52
1.70467E+12,70126.18,70605.81,69894.24,70528.96,0.01,0.01,0.01,0.01,53.64,1.16,46.36
